time,open,high,low,close
1546362000000,0.70519,0.7052,0.70459,0.70467
1546362900000,0.70468,0.70517,0.70463,0.70517
1546363800000,0.70517,0.70522,0.70457,0.70485
1546364700000,0.70485,0.70487,0.70432,0.70432
1546365600000,0.70431,0.70479,0.70431,0.70471
1546366500000,0.70471,0.70493,0.70468,0.70477
1546367400000,0.70476,0.70481,0.70439,0.70481
1546368300000,0.7048,0.70489,0.70459,0.70476
1546369200000,0.70476,0.70481,0.70436,0.70447
1546370100000,0.70447,0.70461,0.70409,0.70416
1546371000000,0.70416,0.70418,0.70377,0.70402
1546371900000,0.70402,0.70424,0.70385,0.70404
1546372800000,0.70403,0.70421,0.70385,0.70407
1546373700000,0.70406,0.70443,0.70399,0.70406
1546374600000,0.70406,0.70417,0.70364,0.70364
1546375500000,0.70363,0.70363,0.70222,0.70247
1546376400000,0.70245,0.70246,0.70164,0.70179
1546377300000,0.70179,0.70187,0.70029,0.70092
1546378200000,0.70092,0.70092,0.70012,0.70088
1546379100000,0.70088,0.70149,0.70072,0.70148
1546380000000,0.70144,0.70144,0.70089,0.70114
1546380900000,0.70114,0.70123,0.70084,0.70117
1546381800000,0.70116,0.70132,0.7009,0.70093
1546382700000,0.70094,0.70126,0.70073,0.70104
1546383600000,0.70104,0.70113,0.70032,0.70074
1546384500000,0.70075,0.70198,0.70074,0.70197
1546385400000,0.70196,0.70203,0.70154,0.7018
1546386300000,0.7018,0.70191,0.70162,0.70185
1546387200000,0.70185,0.70199,0.70172,0.7019
1546388100000,0.70192,0.7025,0.70184,0.70224
1546389000000,0.70224,0.70297,0.7022,0.70283
1546389900000,0.70283,0.70288,0.70248,0.70258
1546390800000,0.70258,0.70376,0.70247,0.70356
1546391700000,0.70356,0.70442,0.7035,0.70409
1546392600000,0.70409,0.70425,0.7036,0.70413
1546393500000,0.70414,0.7044,0.70357,0.70368
1546394400000,0.70367,0.7039,0.70279,0.70312
1546395300000,0.70313,0.7035,0.70293,0.70322
1546396200000,0.70322,0.70404,0.70307,0.70381
1546397100000,0.70381,0.70387,0.70312,0.70323
1546398000000,0.70323,0.70371,0.70164,0.70164
1546398900000,0.70166,0.70197,0.70119,0.70144
1546399800000,0.70144,0.70183,0.70094,0.70122
1546400700000,0.70121,0.70207,0.70115,0.70179
