time,open,high,low,close
1262538000000,1.4301,1.4307,1.4298,1.4307
1262538900000,1.4308,1.4317,1.4307,1.4316
1262539800000,1.4317,1.4328,1.4308,1.4321
1262540700000,1.4321,1.4337,1.432,1.4325
1262541600000,1.4326,1.4334,1.4321,1.433
1262542500000,1.4331,1.4333,1.4322,1.4324
1262543400000,1.4323,1.4333,1.4321,1.4329
1262544300000,1.4328,1.4329,1.4315,1.4316
1262545200000,1.4315,1.4315,1.4291,1.4291
1262546100000,1.429,1.432,1.4289,1.4313
1262547000000,1.4314,1.4316,1.4295,1.4302
1262547900000,1.4305,1.4307,1.4288,1.4289
1262548800000,1.4288,1.4288,1.4267,1.4283
1262549700000,1.4284,1.4286,1.4275,1.428
1262550600000,1.4281,1.4281,1.4257,1.4261
1262551500000,1.4262,1.4274,1.4259,1.4271
1262552400000,1.427,1.4289,1.427,1.4288
1262553300000,1.4287,1.4289,1.4279,1.4279
1262554200000,1.4278,1.4286,1.4278,1.4286
1262555100000,1.4285,1.43,1.4284,1.4295
1262556000000,1.4294,1.4297,1.4288,1.4289
1262556900000,1.429,1.4292,1.428,1.4282
1262557800000,1.4281,1.4286,1.4272,1.4275
1262558700000,1.4274,1.4286,1.4272,1.4285
1262559600000,1.4284,1.429,1.4283,1.4289
1262560500000,1.4288,1.4293,1.4287,1.4291
1262561400000,1.429,1.43,1.4286,1.4296
1262562300000,1.4295,1.4296,1.4289,1.429
1262563200000,1.4289,1.4296,1.4288,1.4295
1262564100000,1.4294,1.4299,1.4294,1.4299
1262565000000,1.43,1.4307,1.4297,1.4305
1262565900000,1.4304,1.4308,1.4298,1.43
1262566800000,1.4301,1.4309,1.43,1.4307
1262567700000,1.4306,1.4308,1.4289,1.4291
1262568600000,1.4292,1.4297,1.4291,1.4292
1262569500000,1.4293,1.4296,1.4281,1.4296
1262570400000,1.4297,1.4298,1.4282,1.4282
1262571300000,1.4281,1.4284,1.4273,1.4282
1262572200000,1.4281,1.4289,1.4269,1.4283
1262573100000,1.4282,1.4307,1.4282,1.4303
1262574000000,1.4302,1.4325,1.4302,1.4321
1262574900000,1.432,1.4321,1.43,1.4303
1262575800000,1.4302,1.4327,1.4301,1.432
1262576700000,1.4319,1.4339,1.4316,1.4335
1262577600000,1.4337,1.4352,1.4336,1.4342
1262578500000,1.4343,1.4356,1.434,1.4349
1262579400000,1.435,1.4389,1.4349,1.4376
1262580300000,1.4377,1.4396,1.4371,1.4393
1262581200000,1.4394,1.4394,1.4385,1.4391
1262582100000,1.4392,1.4399,1.4381,1.4382
1262583000000,1.4381,1.4386,1.4374,1.4382
1262583900000,1.4381,1.4381,1.4373,1.4375
1262584800000,1.4374,1.4403,1.4374,1.4397
1262585700000,1.4398,1.4417,1.4395,1.4404
1262586600000,1.4403,1.4406,1.4393,1.4398
1262587500000,1.4397,1.4403,1.4389,1.4389
1262588400000,1.439,1.4403,1.4386,1.4402
1262589300000,1.4401,1.4404,1.4395,1.4402
1262590200000,1.4403,1.4403,1.4391,1.4398
1262591100000,1.4397,1.44,1.4392,1.4397
1262592000000,1.4398,1.4398,1.4387,1.4389
1262592900000,1.4388,1.4403,1.4388,1.4397
1262593800000,1.4396,1.4424,1.4393,1.4421
1262594700000,1.442,1.4433,1.4415,1.4422
1262595600000,1.4423,1.4445,1.4423,1.4437
