time,open,high,low,close
1262538000000,1.6109,1.6111,1.6105,1.6108
1262538900000,1.6109,1.6121,1.6106,1.6121
1262539800000,1.6122,1.6125,1.6108,1.6117
1262540700000,1.6116,1.6132,1.6116,1.6123
1262541600000,1.612,1.6132,1.6119,1.6129
1262542500000,1.6129,1.6149,1.6129,1.613
1262543400000,1.6129,1.615,1.6129,1.614
1262544300000,1.6142,1.6147,1.6136,1.6136
1262545200000,1.6137,1.6141,1.6106,1.6106
1262546100000,1.6105,1.6145,1.6105,1.6129
1262547000000,1.613,1.613,1.6121,1.6122
1262547900000,1.6121,1.6128,1.6111,1.612
1262548800000,1.6119,1.6119,1.6102,1.6115
1262549700000,1.6115,1.6117,1.6102,1.6112
1262550600000,1.611,1.611,1.6089,1.6095
1262551500000,1.6095,1.61,1.6089,1.6091
1262552400000,1.6089,1.6098,1.6086,1.6098
1262553300000,1.6098,1.6114,1.6091,1.6097
1262554200000,1.6097,1.6104,1.6096,1.6103
1262555100000,1.6104,1.6118,1.6104,1.611
1262556000000,1.6109,1.611,1.6102,1.6102
1262556900000,1.6102,1.6103,1.6087,1.6092
1262557800000,1.6091,1.6093,1.6076,1.6077
1262558700000,1.6076,1.6088,1.607,1.6088
1262559600000,1.6087,1.6094,1.6082,1.6086
1262560500000,1.6085,1.6094,1.6085,1.6089
1262561400000,1.609,1.6101,1.6087,1.6094
1262562300000,1.6094,1.6094,1.608,1.6089
1262563200000,1.6088,1.6097,1.6083,1.609
1262564100000,1.609,1.61,1.6087,1.6096
1262565000000,1.6097,1.6099,1.6091,1.6096
1262565900000,1.6096,1.6099,1.609,1.6093
1262566800000,1.6092,1.6103,1.6091,1.6102
1262567700000,1.6103,1.6106,1.6086,1.6089
1262568600000,1.6089,1.6095,1.6086,1.6087
1262569500000,1.6086,1.6087,1.6072,1.6087
1262570400000,1.6086,1.6087,1.6074,1.6082
1262571300000,1.6081,1.6082,1.6058,1.6074
1262572200000,1.6074,1.6086,1.6057,1.6078
1262573100000,1.6078,1.6109,1.6077,1.6096
1262574000000,1.6096,1.6146,1.6089,1.614
1262574900000,1.6141,1.6141,1.6122,1.6126
1262575800000,1.6126,1.6155,1.6124,1.6147
1262576700000,1.6146,1.6156,1.6139,1.615
1262577600000,1.6151,1.6177,1.615,1.6159
1262578500000,1.616,1.6183,1.6155,1.6167
1262579400000,1.6167,1.6208,1.6166,1.6184
1262580300000,1.6185,1.6211,1.6178,1.6203
1262581200000,1.6202,1.6232,1.6193,1.6228
1262582100000,1.6227,1.6239,1.6207,1.6207
1262583000000,1.6207,1.6213,1.6196,1.6196
1262583900000,1.6196,1.6197,1.6166,1.6174
1262584800000,1.6175,1.622,1.6175,1.6211
1262585700000,1.6212,1.6226,1.6207,1.6211
1262586600000,1.6211,1.6216,1.6201,1.6211
1262587500000,1.621,1.6225,1.6206,1.6219
1262588400000,1.622,1.6223,1.6181,1.6183
1262589300000,1.6184,1.6188,1.6149,1.6152
1262590200000,1.6151,1.617,1.6137,1.616
1262591100000,1.6161,1.6169,1.6147,1.6147
1262592000000,1.6148,1.6162,1.6142,1.6143
1262592900000,1.6143,1.6159,1.6142,1.6157
1262593800000,1.6156,1.6171,1.614,1.6168
1262594700000,1.6169,1.6177,1.6155,1.6161
1262595600000,1.6162,1.6179,1.6162,1.6175
1262596500000,1.6174,1.6194,1.617,1.6189
1262597400000,1.6187,1.6191,1.6155,1.6156
1262598300000,1.6157,1.6169,1.6152,1.6163
1262599200000,1.6164,1.6189,1.6153,1.6166
1262600100000,1.6165,1.6166,1.6129,1.6142
1262601000000,1.6143,1.6145,1.6117,1.6134
1262601900000,1.6134,1.6137,1.6114,1.6118
1262602800000,1.6119,1.6131,1.6104,1.6104
1262603700000,1.6105,1.6105,1.6083,1.6101
1262604600000,1.6102,1.6131,1.6099,1.6123
1262605500000,1.6123,1.6124,1.6101,1.6105
1262606400000,1.6106,1.6117,1.6104,1.6116
1262607300000,1.6115,1.6121,1.6115,1.612
1262608200000,1.6119,1.6124,1.6118,1.6121
1262609100000,1.6121,1.6124,1.6117,1.6124
1262610000000,1.6126,1.6129,1.6119,1.6125
1262610900000,1.6125,1.6125,1.6109,1.6112
1262611800000,1.6111,1.6113,1.6108,1.611
1262612700000,1.611,1.6112,1.6096,1.6097
1262613600000,1.6097,1.6115,1.6094,1.6107
