time,open,high,low,close
1289786400000,6709,6717.5,6703.5,6715
1289787300000,6715.5,6716.5,6713,6714.5
1289788200000,6714.5,6715.5,6712.5,6714
1289789100000,6713.5,6716,6710,6711
1289790000000,6710.5,6716,6691.5,6696
1289790900000,6695.5,6704,6692,6696
1289791800000,6696,6697,6685,6694.5
1289792700000,6694,6713,6687.5,6704.5
1289793600000,6704.5,6710.5,6701,6705
1289794500000,6705.5,6736,6705,6732.5
1289795400000,6733,6741,6731.5,6737.5
1289796300000,6738.5,6740,6730.5,6736.5
1289797200000,6737,6746,6732.5,6742
1289798100000,6742.5,6746,6741.5,6744
1289799000000,6744,6745,6734,6734.5
1289799900000,6735,6738.5,6728.5,6738
1289800800000,6738,6747.5,6732,6741.5
1289801700000,6741.5,6757,6740.5,6753
1289802600000,6753,6758.5,6750.5,6752
1289803500000,6752,6756,6750,6753
1289804400000,6753,6764,6753,6761
1289805300000,6761.5,6763,6758.5,6761
1289806200000,6761,6773.5,6760.5,6772
1289807100000,6771.5,6783,6771.5,6777.5
1289808000000,6778,6786.5,6777.5,6781
1289808900000,6781,6794.5,6779,6794.5
1289809800000,6795.5,6795.5,6777.5,6783
1289810700000,6782.5,6787,6779,6785.5
1289811600000,6785.5,6793.5,6785.5,6788.5
1289812500000,6788,6804,6787.5,6800
1289813400000,6800,6820,6800,6814
1289814300000,6814,6814,6797.5,6800
1289815200000,6799.5,6802.5,6788,6793.5
1289816100000,6793,6805.5,6792,6801
1289817000000,6801,6805,6794.5,6799.5
1289817900000,6799,6805.5,6793,6796.5
1289818800000,6797,6800,6782,6790
1289819700000,6790.5,6793,6787.5,6790
1289820600000,6790.5,6805,6790.5,6803.5
1289821500000,6803,6809,6802.5,6805
1289822400000,6805.5,6808,6796.5,6797
1289823300000,6797,6800,6793,6799
1289824200000,6798.5,6802.5,6797.5,6798
1289825100000,6797.5,6804,6797.5,6802.5
1289826000000,6802,6802,6795.5,6799
1289826900000,6798.5,6804.5,6796.5,6801.5
1289827800000,6802.5,6803,6798,6802
1289828700000,6802.5,6803,6799,6799.5
1289829600000,6799,6802,6797,6798
1289830500000,6797.5,6800,6793.5,6796
1289831400000,6796,6797.5,6789,6796.5
1289832300000,6796,6799.5,6795,6795
1289833200000,6795.5,6797,6792,6793.5
1289834100000,6793.5,6793.5,6787,6793.5
1289835000000,6792.5,6796,6790,6793
1289835900000,6792.5,6794.5,6785,6786
1289872800000,6761,6769,6750,6766
1289873700000,6766.5,6766.5,6762,6762
1289874600000,6762,6769.5,6761.5,6768
1289875500000,6768,6768.5,6765.5,6767
1289876400000,6767,6768,6750.5,6760
1289877300000,6760,6760,6747.5,6758.5
1289878200000,6759,6771.5,6758.5,6767.5
1289879100000,6768,6769.5,6754.5,6756.5
1289880000000,6756.5,6763.5,6753.5,6753.5
1289880900000,6753,6766.5,6751.5,6764
1289881800000,6764.5,6769,6760,6760
1289882700000,6760,6764.5,6756,6761
1289883600000,6760.5,6776,6760.5,6768
1289884500000,6767.5,6769.5,6756.5,6758.5
1289885400000,6758,6763,6754,6756.5
1289886300000,6756,6763.5,6755,6760.5
1289887200000,6761,6761,6751.5,6752
1289888100000,6751.5,6753.5,6732,6733
1289889000000,6732.5,6745,6732,6745
1289889900000,6745,6745,6735,6736.5
1289890800000,6736.5,6744,6734,6742
1289891700000,6742,6744,6739.5,6740
1289892600000,6740,6749.5,6737.5,6748.5
1289893500000,6749,6751.5,6742.5,6744
1289894400000,6744,6755.5,6743.5,6748.5
1289895300000,6748,6759.5,6746.5,6747.5
1289896200000,6747,6758.5,6744,6748.5
1289897100000,6748,6750,6741.5,6743
1289898000000,6743,6750,6742,6743
1289898900000,6742.5,6743.5,6730.5,6736.5
1289899800000,6737,6743.5,6723.5,6737.5
1289900700000,6737.5,6739,6718,6724.5
1289901600000,6724,6736,6716.5,6734.5
1289902500000,6735,6738,6718,6724
1289903400000,6723.5,6723.5,6695,6706
1289904300000,6705.5,6711,6690.5,6697
1289905200000,6696,6699.5,6672,6681.5
1289906100000,6681.5,6681.5,6670,6678
1289907000000,6677.5,6680,6657,6657
1289907900000,6657,6674,6654.5,6673
1289908800000,6673,6678.5,6666.5,6676
1289909700000,6676,6677.5,6667.5,6672.5
1289910600000,6672,6673.5,6660.5,6664.5
1289911500000,6665,6674,6659.5,6674
1289912400000,6674,6675,6669,6670.5
1289913300000,6670,6674.5,6664.5,6672.5
1289914200000,6672,6681.5,6668.5,6680
1289915100000,6680,6683.5,6673,6681
1289916000000,6681.5,6682,6675.5,6679.5
1289916900000,6679,6679.5,6666.5,6668.5
1289917800000,6668.5,6670.5,6661.5,6666.5
1289918700000,6666,6672.5,6665,6670
1289919600000,6670.5,6673.5,6661.5,6663
1289920500000,6662.5,6669,6657,6666.5
1289921400000,6665.5,6671,6665,6671
1289922300000,6670.5,6675,6668,6673.5
1289923200000,6674,6674,6674,6674
1289959200000,6674,6675.5,6664,6666
1289960100000,6665.5,6674.5,6665,6670
1289961000000,6670,6676,6668,6668.5
1289961900000,6668,6669,6661.5,6663.5
1289962800000,6662.5,6680.5,6660,6680
1289963700000,6679.5,6683,6674.5,6683
1289964600000,6683.5,6686,6676,6682.5
1289965500000,6682,6692,6681,6689.5
1289966400000,6689,6695,6685,6694.5
1289967300000,6695,6703,6692.5,6696.5
1289968200000,6696.5,6697.5,6688.5,6689.5
1289969100000,6689,6694.5,6685,6686.5
1289970000000,6687,6691,6683,6689.5
1289970900000,6689,6696.5,6686.5,6695
1289971800000,6694.5,6696,6690,6691
1289972700000,6691.5,6707,6690,6702.5
1289973600000,6703,6705.5,6697.5,6698.5
1289974500000,6698.5,6699,6688,6691.5
1289975400000,6691.5,6695.5,6689.5,6692
1289976300000,6691.5,6695,6688,6690.5
1289977200000,6691,6693,6686.5,6687.5
1289978100000,6687.5,6690.5,6686,6686
1289979000000,6686.5,6696,6681,6696
1289979900000,6696.5,6698.5,6690,6690.5
1289980800000,6690.5,6691,6686,6689
1289981700000,6689.5,6696,6688,6693
1289982600000,6693,6701.5,6685.5,6695
1289983500000,6695,6695,6688.5,6692.5
1289984400000,6692,6696,6688,6689
1289985300000,6689,6693.5,6688.5,6691
1289986200000,6691.5,6694.5,6682.5,6686
1289987100000,6685.5,6699,6679.5,6695.5
1289988000000,6695.5,6709.5,6693.5,6704
1289988900000,6703.5,6711.5,6702,6706.5
1289989800000,6707.5,6711,6700.5,6703
1289990700000,6703.5,6706.5,6693,6698
1289991600000,6698.5,6704,6694,6703.5
1289992500000,6704,6709.5,6701.5,6704
1289993400000,6703.5,6710.5,6702,6707
1289994300000,6708,6709,6702.5,6706
1289995200000,6705.5,6712.5,6705.5,6708.5
1289996100000,6708.5,6708.5,6702.5,6704.5
1289997000000,6705,6707.5,6703.5,6707
1289997900000,6706.5,6709.5,6705,6705.5
1289998800000,6705.5,6708.5,6703,6706
1289999700000,6706.5,6708.5,6704.5,6708
1290000600000,6708.5,6712,6705.5,6706.5
1290001500000,6706.5,6708.5,6704,6707.5
1290002400000,6708,6710,6706.5,6706.5
1290003300000,6707,6709,6705,6707
1290004200000,6707,6712,6707,6710
1290005100000,6710.5,6711.5,6705.5,6706
1290006000000,6706.5,6708,6700,6700.5
1290006900000,6701,6705.5,6691.5,6694.5
1290007800000,6694.5,6703.5,6694,6699
1290008700000,6698.5,6707,6698,6704
1290009600000,6703.5,6703.5,6703.5,6703.5
1290045600000,6770.5,6785.5,6770.5,6776
1290046500000,6776,6777,6771.5,6771.5
1290047400000,6771.5,6775,6768,6774.5
1290048300000,6774,6775,6766.5,6769.5
1290049200000,6768,6777.5,6766,6768.5
1290050100000,6768.5,6773,6759,6764.5
1290051000000,6765,6773,6763.5,6771.5
1290051900000,6771,6806,6771,6796.5
1290052800000,6797,6800.5,6794,6798.5
1290053700000,6798,6798.5,6792.5,6794.5
1290054600000,6794.5,6798,6792.5,6795
1290055500000,6794.5,6798.5,6794,6796.5
1290056400000,6797,6798,6793.5,6795.5
1290057300000,6795.5,6798,6794,6797
1290058200000,6796.5,6802,6796,6797
1290059100000,6797.5,6798.5,6793.5,6796
1290060000000,6797,6803,6795.5,6799
1290060900000,6799.5,6800.5,6795.5,6797
1290061800000,6797.5,6801,6796.5,6799
1290062700000,6799,6803,6796,6799.5
1290063600000,6799,6801,6797,6798.5
1290064500000,6799,6800,6797.5,6797.5
1290065400000,6798,6800,6796.5,6796.5
1290066300000,6796,6798.5,6794.5,6797
1290067200000,6797,6801.5,6796.5,6799
1290068100000,6798.5,6802,6796.5,6801
1290069000000,6801,6803.5,6798,6801.5
1290069900000,6802,6804.5,6795.5,6795.5
1290070800000,6796,6800.5,6795.5,6798
1290071700000,6797,6799,6791,6793.5
1290072600000,6794,6799.5,6792.5,6798.5
1290073500000,6799,6806,6795.5,6797
1290074400000,6806,6841.5,6806,6836.5
1290075300000,6836,6837,6829,6833.5
1290076200000,6833.5,6837,6829,6830.5
1290077100000,6830.5,6836.5,6830,6831.5
1290078000000,6832,6839,6829,6829.5
1290078900000,6829,6831.5,6826,6831
1290079800000,6830.5,6839,6829.5,6832
1290080700000,6832,6834,6830.5,6833.5
1290081600000,6834,6836,6831.5,6832
