time,open,high,low,close
1546362000000,73.639,73.678,73.608,73.622
1546362900000,73.617,73.639,73.578,73.605
1546363800000,73.619,73.694,73.602,73.631
1546364700000,73.631,73.654,73.599,73.606
1546365600000,73.604,73.761,73.596,73.757
1546366500000,73.755,73.777,73.742,73.75
1546367400000,73.75,73.759,73.677,73.687
1546368300000,73.687,73.695,73.616,73.62
1546369200000,73.618,73.624,73.517,73.57
1546370100000,73.57,73.585,73.552,73.555
1546371000000,73.556,73.64,73.556,73.626
1546371900000,73.626,73.627,73.57,73.577
1546372800000,73.576,73.639,73.546,73.626
1546373700000,73.626,73.627,73.589,73.589
1546374600000,73.59,73.614,73.543,73.543
1546375500000,73.545,73.547,73.457,73.464
1546376400000,73.465,73.469,73.324,73.332
1546377300000,73.331,73.333,73.145,73.189
1546378200000,73.188,73.189,73.076,73.153
1546379100000,73.153,73.185,73.14,73.18
1546380000000,73.179,73.179,73.125,73.17
1546380900000,73.172,73.173,73.134,73.138
1546381800000,73.135,73.169,73.124,73.146
1546382700000,73.146,73.182,73.129,73.158
1546383600000,73.158,73.175,73.114,73.133
1546384500000,73.133,73.204,73.13,73.204
1546385400000,73.204,73.234,73.191,73.234
1546386300000,73.234,73.27,73.23,73.262
1546387200000,73.262,73.296,73.254,73.284
1546388100000,73.284,73.345,73.281,73.309
1546389000000,73.309,73.374,73.305,73.366
1546389900000,73.367,73.375,73.309,73.323
1546390800000,73.322,73.352,73.296,73.327
1546391700000,73.326,73.349,73.296,73.327
1546392600000,73.328,73.37,73.314,73.336
1546393500000,73.337,73.387,73.317,73.382
1546394400000,73.382,73.396,73.28,73.313
1546395300000,73.314,73.343,73.285,73.334
1546396200000,73.335,73.422,73.323,73.411
1546397100000,73.41,73.421,73.379,73.41
1546398000000,73.409,73.411,73.181,73.183
1546398900000,73.181,73.205,73.126,73.156
1546399800000,73.155,73.155,72.974,72.986
1546400700000,72.985,73.131,72.983,73.095
1546401600000,73.096,73.102,72.967,72.993
1546402500000,72.989,73.043,72.929,73.013
1546403400000,73.013,73.046,72.989,73.02
1546404300000,73.021,73.144,73.008,73.097
1546405200000,73.098,73.129,73.047,73.061
1546406100000,73.062,73.094,73.034,73.051
1546407000000,73.052,73.053,73.016,73.046
1546407900000,73.046,73.16,73.04,73.095
1546408800000,73.094,73.166,73.088,73.144
1546409700000,73.143,73.171,73.125,73.149
1546410600000,73.148,73.158,73.103,73.143
1546411500000,73.143,73.172,73.122,73.134
1546412400000,73.133,73.174,73.124,73.158
1546413300000,73.159,73.174,73.105,73.152
1546414200000,73.151,73.151,73.035,73.051
1546415100000,73.053,73.058,72.984,72.986
1546416000000,72.984,72.996,72.863,72.886
1546416900000,72.885,72.888,72.614,72.732
1546417800000,72.732,72.83,72.724,72.789
1546418700000,72.789,72.79,72.726,72.769
1546419600000,72.769,72.883,72.768,72.847
1546420500000,72.846,72.923,72.834,72.91
1546421400000,72.908,72.931,72.842,72.907
1546422300000,72.906,73.022,72.9,73.009
1546423200000,73.006,73.034,72.934,72.996
