time,open,high,low,close
1514858400000,7633.5,7635.5,7624,7633.5
1514859300000,7633,7634.5,7630.5,7632.5
1514860200000,7632,7633.5,7628.5,7633
1514861100000,7633,7635,7625,7635
1514862000000,7635.5,7636.75,7612.25,7624.5
1514862900000,7625,7629,7611,7612
1514863800000,7612.5,7614,7606.5,7608
1514864700000,7607.75,7621.5,7607,7619.5
1514865600000,7619.5,7619.5,7607.5,7611.5
1514866500000,7612,7617.5,7611,7616.5
1514867400000,7616.75,7618.5,7606.5,7609.5
1514868300000,7609.5,7617.5,7607.5,7617
1514869200000,7617.5,7619,7609,7609.5
1514870100000,7609.5,7610.5,7604,7606
1514871000000,7605.5,7606.5,7602,7604
1514871900000,7603.75,7605.5,7598.5,7600
1514872800000,7600,7603,7596.5,7597.5
1514873700000,7598,7599.5,7593,7599.5
1514874600000,7599,7603,7598,7601
1514875500000,7600.5,7602,7597.5,7600.5
1514876400000,7600.75,7604,7600,7601.5
1514877300000,7602,7604,7598.5,7600.5
1514878200000,7601,7602,7597,7597.5
1514879100000,7598,7598.5,7591,7596.5
1514880000000,7597,7598,7591.5,7591.5
1514880900000,7591.25,7597,7590,7597
1514881800000,7597.5,7597.75,7591,7593
1514882700000,7593.5,7593.75,7589,7590.5
1514883600000,7590.5,7593.5,7589.5,7593.5
1514884500000,7594,7598.5,7591.5,7592
1514885400000,7591.75,7591.75,7577.5,7579
1514886300000,7579,7579,7570.5,7578
1514887200000,7577.5,7591.5,7577.5,7589.5
1514888100000,7589.75,7595.25,7589,7593.5
1514889000000,7593,7604,7592,7592.25
1514889900000,7592,7594.5,7584,7584.5
1514890800000,7585,7587.5,7581,7587.5
1514891700000,7588,7590,7579,7586.5
1514892600000,7586.75,7601,7586.5,7591.5
1514893500000,7591.75,7594,7588.5,7593
1514894400000,7593.5,7596.5,7592,7596
1514895300000,7595.5,7598,7594,7595.5
1514896200000,7595.5,7597,7592.5,7593
1514897100000,7592.5,7594,7590.5,7594
1514898000000,7593.75,7598.5,7593.25,7598.5
1514898900000,7598.75,7599.5,7597.5,7598.5
1514899800000,7598.5,7599,7597.5,7599
1514900700000,7598.75,7599.5,7597.5,7599.5
1514901600000,7599,7599.5,7597,7597
1514902500000,7597.5,7597.5,7595,7596
1514903400000,7595.5,7597,7595,7597
1514904300000,7597.25,7598,7595.5,7596
1514905200000,7595.5,7598,7595,7597.5
1514906100000,7597.5,7601.5,7597.5,7601.5
1514907000000,7601,7602.5,7598,7599
1514907900000,7598.75,7598.75,7592,7598.5
1514944800000,7595,7598.5,7594.5,7594.5
1514945700000,7595,7596,7594.5,7595.5
1514946600000,7595,7598,7594.5,7598
1514947500000,7598,7601,7597,7601
1514948400000,7602,7610.5,7594,7595.5
1514949300000,7595.5,7598.5,7592,7595.5
1514950200000,7595,7596,7587.25,7589.5
1514951100000,7589,7592.5,7587,7591.5
1514952000000,7591.5,7596,7590,7593.5
1514952900000,7594,7596.5,7589.5,7591.5
1514953800000,7591.5,7594.5,7589,7594
1514954700000,7593.5,7598.5,7591.5,7594
1514955600000,7594,7596.5,7591,7592.5
1514956500000,7593,7599.5,7592,7598
1514957400000,7597.5,7599,7588,7588.5
1514958300000,7589,7593,7587.5,7590
1514959200000,7590,7598.5,7589.5,7597
1514960100000,7596.5,7599,7595,7596
1514961000000,7595.5,7598.5,7592.5,7595
1514961900000,7595,7597,7594,7596.5
1514962800000,7596,7596,7592,7594.5
1514963700000,7594,7596.5,7593,7595
1514964600000,7594.5,7598.5,7592,7592.5
1514965500000,7592,7592.5,7588.5,7590.5
1514966400000,7590.5,7594,7589.5,7591
1514967300000,7590.75,7597,7589,7596.5
1514968200000,7597,7601.5,7595.5,7599.5
1514969100000,7599,7601.5,7597.5,7599.5
1514970000000,7599.5,7604.5,7599.5,7604
1514970900000,7603.75,7606,7601.5,7606
1514971800000,7606.25,7614,7604.5,7613.5
1514972700000,7613.75,7617.5,7612,7613.5
1514973600000,7615,7624,7613.5,7620.5
1514974500000,7620.75,7628.5,7618.5,7628.5
1514975400000,7629,7636,7626,7634.5
1514976300000,7634,7635,7622,7624
1514977200000,7623.5,7623.5,7616.5,7618.5
1514978100000,7618,7622.75,7616,7620
1514979000000,7620.25,7621.5,7612,7612.5
1514979900000,7612.75,7617,7611,7614.5
1514980800000,7614,7615.5,7613,7614.5
1514981700000,7614,7616,7614,7615
1514982600000,7614.5,7618,7614,7618
1514983500000,7618,7621.5,7618,7618.5
1514984400000,7618.5,7620.5,7618,7620
1514985300000,7620,7624,7620,7622.5
1514986200000,7622.75,7626.5,7621,7621
1514987100000,7621.5,7623,7620,7621
1514988000000,7621,7626,7620,7626
1514988900000,7625.5,7626,7621.5,7621.5
1514989800000,7621,7624.5,7620.5,7624
1514990700000,7624,7627,7623,7626
1514991600000,7626.5,7626.5,7625,7626
1514992500000,7626.25,7630,7626.25,7629
1514993400000,7628.75,7630,7627,7628
1514994300000,7628,7638.75,7628,7638.75
1515031200000,7635,7640,7635,7638.5
1515032100000,7638.5,7640,7637.5,7639
1515033000000,7638.5,7638.5,7634.5,7636
1515033900000,7635.5,7640,7634.5,7640
1515034800000,7639,7643.5,7625.5,7625.5
1515035700000,7625.75,7633,7625.5,7631
1515036600000,7631,7632.5,7623.5,7625
1515037500000,7625.5,7628.5,7623.5,7623.5
1515038400000,7623.75,7629.5,7623,7627
1515039300000,7627.5,7633,7626,7631.5
1515040200000,7631,7633,7628.5,7632
1515041100000,7633,7633.5,7626,7626
1515042000000,7625,7626.5,7622,7622.5
1515042900000,7622,7625.75,7621.5,7623.5
1515043800000,7623.25,7625,7617.5,7620
1515044700000,7619.75,7621.5,7616,7617.5
1515045600000,7617.25,7620,7615,7617.5
1515046500000,7618,7620,7615.5,7617.5
1515047400000,7617.75,7620.5,7615.5,7620.5
1515048300000,7620.75,7623.25,7617,7618
1515049200000,7617.25,7622.25,7613.5,7621.5
1515050100000,7621,7624.5,7619.5,7622
1515051000000,7622,7628,7620.5,7627.5
1515051900000,7627.5,7627.5,7622.5,7624.5
1515052800000,7624.75,7629.5,7624.75,7628
1515053700000,7628.25,7630,7625,7627
1515054600000,7627.75,7630,7625,7628.5
1515055500000,7628,7633,7627,7633
1515056400000,7632.5,7638,7632.5,7635
1515057300000,7635.25,7636,7633,7634.5
1515058200000,7634.75,7639,7632.5,7635
1515059100000,7635.5,7644.5,7633,7644
1515060000000,7644.25,7645,7636,7639.5
1515060900000,7639.5,7641,7634.5,7640
1515061800000,7640.25,7641,7637,7637.5
1515062700000,7638,7639.5,7634.5,7639
1515063600000,7639.25,7640.5,7634,7639
1515064500000,7638.5,7641.5,7633,7639.25
1515065400000,7639.5,7643.5,7630,7630
1515066300000,7630.5,7632.5,7628.5,7629.5
1515067200000,7629,7633,7628.5,7632
1515068100000,7632,7633.5,7631,7631
1515069000000,7631.5,7631.5,7628.5,7629.5
1515069900000,7629.5,7630.5,7628.5,7630
1515070800000,7629.5,7630,7626.5,7627
1515071700000,7627.5,7629.5,7627,7629.5
1515072600000,7630,7631.5,7628.5,7631
1515073500000,7630.75,7631,7628.5,7629
1515074400000,7629,7631,7628,7630
1515075300000,7630.5,7631.5,7626.5,7627
1515076200000,7626.5,7630,7626,7630
1515077100000,7630.25,7631.5,7628.5,7629
1515078000000,7629.25,7630.5,7627,7628
1515078900000,7627.5,7631.5,7627.5,7630
1515079800000,7629.5,7630,7628.5,7629
1515080700000,7629.5,7640,7628,7639
1515117600000,7634,7638,7634,7635.5
1515118500000,7635.5,7635.5,7632,7632.5
1515119400000,7633,7636.5,7633,7636.5
1515120300000,7636.5,7645.5,7636.5,7645
1515121200000,7644.5,7650,7633,7648.5
1515122100000,7648.5,7651,7639.75,7642.5
1515123000000,7642,7648,7641.5,7648
1515123900000,7648.25,7651.5,7647.5,7650
1515124800000,7649.5,7657.5,7649.5,7654
1515125700000,7653.5,7654,7650,7651.5
1515126600000,7651.5,7657,7651.5,7654.5
1515127500000,7655,7659,7652.5,7658
1515128400000,7658,7665,7656.5,7664.5
1515129300000,7664,7665.5,7659,7659.5
1515130200000,7659.5,7667,7658.5,7665.5
1515131100000,7665,7667,7662.5,7663
1515132000000,7663,7667.5,7662.5,7666.5
1515132900000,7666.5,7667,7663,7664
1515133800000,7664,7665.5,7661.5,7664.5
1515134700000,7664.5,7670.5,7664.5,7670
1515135600000,7669,7670,7660,7662
1515136500000,7661.5,7663.5,7660.5,7662
1515137400000,7662,7664.75,7661,7662
1515138300000,7661.5,7662.5,7659,7659.5
1515139200000,7659.5,7660.5,7656.75,7657
1515140100000,7657,7659.5,7654.5,7657
1515141000000,7657,7658.5,7648.5,7655
1515141900000,7655,7657,7651,7651
1515142800000,7650.75,7658,7650.5,7656.5
1515143700000,7657,7657.5,7654,7654
1515144600000,7653.75,7653.75,7640.5,7648.5
1515145500000,7648.25,7653,7646.5,7650.5
1515146400000,7650,7654.5,7646.5,7647
1515147300000,7647.5,7650.5,7643.5,7644.5
1515148200000,7645,7653,7644.5,7652.5
1515149100000,7652.25,7652.5,7646.5,7650
1515150000000,7650.5,7655,7649.5,7653.5
