time,open,high,low,close
1546365600000,6334.159,6358.57,6330.06,6354.86
1546366500000,6355.059,6360.759,6352.06,6358.66
1546367400000,6358.66,6364.77,6358.559,6361.26
1546368300000,6361.559,6364.27,6357.66,6358.16
1546369200000,6358.16,6363.07,6355.37,6359.36
1546370100000,6359.57,6365.769,6358.76,6362.76
1546371000000,6362.76,6369.77,6362.06,6362.269
1546371900000,6362.269,6368.669,6361.86,6363.27
1546372800000,6363.36,6369.57,6358.659,6366.36
1546373700000,6366.57,6367.26,6362.36,6364.77
1546374600000,6365.27,6366.16,6357.259,6357.67
1546375500000,6357.669,6357.669,6328.77,6330.569
1546376400000,6330.669,6332.37,6310.37,6314.06
1546377300000,6312.76,6319.169,6302.26,6308.769
1546378200000,6308.769,6308.769,6277.869,6287.57
1546379100000,6287.67,6295.17,6279.76,6291.86
1546380000000,6291.859,6293.369,6279.76,6287.26
1546380900000,6287.37,6291.37,6283.57,6287.17
1546381800000,6287.17,6293.07,6285.16,6291.56
1546382700000,6291.56,6292.059,6283.57,6288.76
1546383600000,6288.87,6290.57,6244.359,6252.56
1546384500000,6252.56,6268.259,6252.37,6265.659
1546385400000,6265.77,6269.569,6258.06,6261.07
1546386300000,6261.169,6264.559,6258.06,6262.17
1546387200000,6262.07,6271.159,6260.66,6266.17
1546388100000,6266.26,6268.07,6259.07,6259.67
1546389000000,6259.16,6262.87,6256.069,6256.86
1546389900000,6257.069,6258.76,6239.76,6244.26
1546390800000,6244.17,6253.77,6243.76,6248.86
1546391700000,6248.86,6259.07,6245.76,6257.57
1546392600000,6257.67,6260.07,6255.36,6259.17
1546393500000,6259.259,6262.06,6251.669,6252.759
1546394400000,6252.869,6260.76,6245.76,6247.07
1546395300000,6247.77,6249.359,6232.56,6243.07
1546396200000,6243.17,6251.769,6239.36,6247.76
1546397100000,6247.67,6248.66,6235.269,6237.16
1546398000000,6237.159,6238.07,6213.269,6215.06
1546398900000,6215.06,6216.07,6156.76,6164.06
1546399800000,6164.159,6167.86,6139.57,6144.769
1546400700000,6145.26,6160.06,6145.26,6158.76
1546401600000,6158.76,6171.66,6156.76,6170.259
1546402500000,6170.259,6183.57,6167.77,6180.169
1546403400000,6180.17,6186.36,6160.76,6169.66
1546404300000,6169.56,6182.36,6167.87,6180.66
1546405200000,6181.16,6191.56,6179.059,6186.17
1546406100000,6186.06,6199.37,6180.86,6182.77
1546407000000,6182.769,6185.07,6165.67,6174.26
1546407900000,6174.26,6183.87,6168.769,6171.27
1546408800000,6171.369,6187.57,6167.36,6182.17
1546409700000,6182.069,6189.569,6180.76,6182.67
1546410600000,6182.76,6186.769,6171.26,6177.069
1546411500000,6177.069,6182.76,6171.769,6182.759
1546412400000,6183.07,6201.26,6180.359,6199.26
1546413300000,6199.369,6210.27,6197.76,6208.359
1546414200000,6208.27,6209.069,6191.07,6203.57
1546415100000,6204.17,6204.57,6182.07,6182.07
1546416000000,6180.76,6192.359,6179.87,6192.359
1546416900000,6192.769,6197.269,6171.359,6176.57
1546417800000,6176.57,6180.36,6173.06,6177.559
1546418700000,6177.559,6182.269,6174.87,6177.76
1546419600000,6178.37,6195.67,6177.06,6193.06
1546420500000,6193.059,6199.759,6187.869,6195.259
1546421400000,6195.259,6236.16,6191.759,6231.56
1546422300000,6231.56,6256.059,6230.66,6248.67
1546423200000,6248.67,6288.669,6228.369,6283.67
1546424100000,6283.769,6304.669,6272.27,6279.16
1546425000000,6279.26,6310.16,6265.259,6308.359
1546425900000,6307.97,6325.86,6298.46,6315.969
1546426800000,6315.969,6342.26,6307.37,6340.669
1546427700000,6340.67,6357.07,6328.559,6334.47
1546428600000,6334.959,6344.969,6318.27,6340.169
1546429500000,6340.469,6344.57,6310.56,6311.969
1546430400000,6312.069,6325.459,6306.67,6323.269
1546431300000,6323.17,6327.268,6312.259,6323.77
