time,open,high,low,close
1451840400000,120.172,120.23,120.171,120.222
1451841300000,120.223,120.269,120.21,120.269
1451842200000,120.271,120.3,120.263,120.293
1451843100000,120.294,120.317,120.267,120.284
1451844000000,120.291,120.349,120.281,120.344
1451844900000,120.345,120.381,120.312,120.312
1451845800000,120.312,120.343,120.258,120.261
1451846700000,120.26,120.328,120.233,120.314
1451847600000,120.317,120.347,120.268,120.319
1451848500000,120.317,120.34,120.285,120.34
1451849400000,120.338,120.356,120.307,120.356
1451850300000,120.355,120.391,120.328,120.369
1451851200000,120.368,120.447,120.344,120.426
1451852100000,120.427,120.464,120.384,120.39
1451853000000,120.393,120.397,120.323,120.331
1451853900000,120.335,120.343,120.009,120.028
1451854800000,120.026,120.043,119.695,119.811
1451855700000,119.816,119.845,119.698,119.727
1451856600000,119.728,119.801,119.655,119.711
1451857500000,119.71,119.819,119.646,119.818
1451858400000,119.817,119.818,119.725,119.739
1451859300000,119.737,119.773,119.713,119.772
1451860200000,119.77,119.805,119.665,119.687
1451861100000,119.689,119.718,119.647,119.684
1451862000000,119.683,119.73,119.647,119.677
1451862900000,119.677,119.683,119.499,119.515
1451863800000,119.514,119.579,119.5,119.521
1451864700000,119.522,119.61,119.472,119.536
1451865600000,119.536,119.571,119.461,119.485
1451866500000,119.485,119.528,119.456,119.52
1451867400000,119.515,119.515,119.28,119.326
1451868300000,119.334,119.385,119.239,119.379
1451869200000,119.38,119.399,119.319,119.351
1451870100000,119.353,119.46,119.308,119.46
1451871000000,119.458,119.471,119.412,119.427
1451871900000,119.428,119.443,119.398,119.417
1451872800000,119.419,119.429,119.159,119.178
1451873700000,119.177,119.29,119.169,119.272
1451874600000,119.271,119.279,119.138,119.159
1451875500000,119.158,119.161,118.903,118.972
1451876400000,118.975,119.006,118.74,118.861
1451877300000,118.86,118.865,118.701,118.859
1451878200000,118.856,119.161,118.818,119.11
1451879100000,119.11,119.12,118.97,119.013
1451880000000,119.014,119.041,118.971,118.988
1451880900000,118.988,119.091,118.969,119.054
1451881800000,119.053,119.07,118.915,118.941
1451882700000,118.942,118.949,118.866,118.875
1451883600000,118.873,118.923,118.85,118.901
1451884500000,118.9,119.011,118.9,118.97
1451885400000,118.969,119.036,118.934,119.029
1451886300000,119.028,119.068,118.966,118.997
1451887200000,118.995,119.002,118.858,118.86
1451888100000,118.861,118.91,118.812,118.821
1451889000000,118.82,118.835,118.715,118.777
1451889900000,118.776,118.909,118.766,118.792
1451890800000,118.793,118.899,118.763,118.881
1451891700000,118.882,118.911,118.816,118.909
1451892600000,118.911,119.047,118.872,119.043
1451893500000,119.044,119.107,119.017,119.066
1451894400000,119.073,119.096,119.041,119.095
1451895300000,119.097,119.136,119.062,119.123
1451896200000,119.122,119.361,119.093,119.282
1451897100000,119.284,119.333,119.204,119.256
1451898000000,119.256,119.271,119.11,119.132
1451898900000,119.133,119.24,119.123,119.221
1451899800000,119.22,119.223,119.048,119.074
1451900700000,119.075,119.248,119.041,119.069
1451901600000,119.064,119.273,119.006,119.273
1451902500000,119.273,119.357,119.22,119.236
1451903400000,119.238,119.259,119.14,119.218
1451904300000,119.222,119.316,119.198,119.295
1451905200000,119.296,119.356,119.185,119.35
1451906100000,119.349,119.409,119.314,119.366
1451907000000,119.364,119.413,119.355,119.383
1451907900000,119.384,119.384,119.294,119.308
1451908800000,119.31,119.382,119.3,119.34
1451909700000,119.34,119.345,119.281,119.311
1451910600000,119.312,119.373,119.284,119.367
1451911500000,119.368,119.433,119.366,119.408
1451912400000,119.408,119.5,119.39,119.446
1451913300000,119.446,119.472,119.397,119.418
1451914200000,119.417,119.461,119.415,119.421
1451915100000,119.422,119.429,119.359,119.359
1451916000000,119.36,119.363,119.298,119.352
1451916900000,119.353,119.405,119.345,119.381
1451917800000,119.382,119.388,119.308,119.321
1451918700000,119.322,119.347,119.29,119.295
1451919600000,119.296,119.33,119.282,119.327
1451920500000,119.33,119.359,119.294,119.337
1451921400000,119.338,119.408,119.323,119.403
1451922300000,119.402,119.472,119.401,119.425
1451923200000,119.424,119.475,119.421,119.421
1451924100000,119.422,119.434,119.388,119.388
1451925000000,119.388,119.404,119.375,119.377
1451925900000,119.377,119.458,119.377,119.434
1451926800000,119.418,119.447,119.363,119.366
1451927700000,119.366,119.374,119.335,119.346
1451928600000,119.35,119.372,119.313,119.325
1451929500000,119.325,119.334,119.308,119.308
1451930400000,119.31,119.356,119.287,119.333
