time,open,high,low,close
1514829600000,1302.34,1303.73,1302.34,1303.73
1514830500000,1303.72,1306.25,1303.58,1306.2
1514831400000,1306.19,1307.55,1306.08,1307.13
1514832300000,1307.15,1307.28,1306.65,1306.66
1514833200000,1306.68,1306.78,1305.16,1305.63
1514834100000,1305.65,1306.06,1305.49,1305.83
1514835000000,1305.82,1306.73,1305.81,1306.7
1514835900000,1306.71,1307.21,1306.19,1306.2
1514836800000,1306.21,1306.31,1304.11,1305.06
1514837700000,1305.05,1306.19,1305.03,1306.15
1514838600000,1306.17,1306.92,1306.03,1306.48
1514839500000,1306.5,1306.9,1305.9,1306.06
1514840400000,1306.07,1306.66,1306.04,1306.54
1514841300000,1306.51,1306.72,1306.36,1306.49
1514842200000,1306.5,1306.53,1305.77,1306.06
1514843100000,1306.05,1306.14,1305.36,1305.91
1514844000000,1305.9,1306.39,1305.34,1306.21
1514844900000,1306.2,1307.01,1306.2,1306.84
1514845800000,1306.85,1307.35,1306.63,1307.05
1514846700000,1307.04,1307.06,1306.31,1306.33
1514847600000,1306.32,1306.41,1306.22,1306.38
1514848500000,1306.39,1306.67,1306.36,1306.63
1514849400000,1306.64,1306.88,1306.42,1306.84
1514850300000,1306.86,1307.2,1306.84,1307.08
1514851200000,1307.09,1307.09,1306.83,1306.85
1514852100000,1306.84,1307.19,1306.81,1307.18
1514853000000,1307.19,1307.25,1306.69,1307.23
1514853900000,1307.22,1307.55,1307.01,1307.32
1514854800000,1307.35,1308.89,1307.32,1308.54
1514855700000,1308.55,1308.9,1308.2,1308.9
1514856600000,1308.89,1309.16,1308.49,1308.63
1514857500000,1308.64,1309.9,1308.41,1309.85
1514858400000,1309.82,1310.19,1309.34,1309.51
1514859300000,1309.52,1309.64,1308.81,1309.25
1514860200000,1309.31,1309.67,1308.74,1309.3
1514861100000,1309.32,1309.47,1308.91,1309.37
1514862000000,1309.36,1309.46,1308.43,1308.99
1514862900000,1308.97,1309.51,1308.96,1309.49
1514863800000,1309.47,1310.75,1309.45,1310.32
1514864700000,1310.34,1310.53,1309.89,1310.15
1514865600000,1310.16,1310.65,1309.92,1310.55
1514866500000,1310.54,1310.84,1309.99,1310.37
1514867400000,1310.41,1311.34,1310.36,1311.14
1514868300000,1311.13,1312.24,1311.12,1312.2
1514869200000,1312.17,1312.21,1310.29,1310.3
1514870100000,1310.31,1311.06,1309.99,1310.95
1514871000000,1310.93,1312.79,1310.91,1312.13
1514871900000,1312.14,1312.36,1311.55,1311.8
1514872800000,1311.81,1312.23,1311.34,1312.13
1514873700000,1312.11,1312.13,1311.21,1311.36
1514874600000,1311.35,1311.7,1310.63,1310.75
1514875500000,1310.73,1310.75,1310.1,1310.12
1514876400000,1310.14,1311.97,1310.08,1311.86
1514877300000,1311.83,1311.88,1311.2,1311.53
1514878200000,1311.55,1311.95,1311.34,1311.73
1514879100000,1311.74,1312.53,1311.54,1311.98
1514880000000,1312,1312.81,1311.84,1312.07
1514880900000,1312.09,1313.22,1312.04,1312.97
1514881800000,1312.96,1314.01,1312.96,1313.69
1514882700000,1313.64,1314.29,1312.88,1313.85
1514883600000,1313.84,1314.28,1313.4,1313.52
1514884500000,1313.51,1313.75,1313.12,1313.17
1514885400000,1313.14,1314.45,1312.37,1313.18
1514886300000,1313.16,1313.45,1312.15,1312.55
1514887200000,1312.62,1313.21,1310.8,1313.04
1514888100000,1313.05,1313.55,1311.7,1312.09
1514889000000,1312.2,1312.85,1312,1312.24
1514889900000,1312.22,1312.69,1311.86,1312.23
1514890800000,1312.14,1313.54,1312.1,1312.98
1514891700000,1312.97,1313.15,1312.37,1312.54
1514892600000,1312.52,1312.61,1311.99,1312.28
1514893500000,1312.29,1312.6,1311.24,1311.24
1514894400000,1311.2,1311.9,1311.2,1311.61
1514895300000,1311.57,1311.93,1311.15,1311.51
1514896200000,1311.53,1311.75,1311.24,1311.69
1514897100000,1311.68,1312.4,1311.65,1312.4
1514898000000,1312.37,1313.38,1312.3,1313.27
1514898900000,1313.24,1314.53,1312.84,1314.51
1514899800000,1314.5,1314.53,1313.79,1314.22
1514900700000,1314.2,1314.75,1313.72,1314.47
1514901600000,1314.46,1315.12,1314.41,1314.9
1514902500000,1314.91,1315.13,1314.46,1315.09
1514903400000,1315.07,1315.5,1314.96,1315.21
1514904300000,1315.2,1316.11,1315.19,1315.88
1514905200000,1315.84,1316.8,1315.61,1316.37
1514906100000,1316.4,1316.59,1316.04,1316.59
1514907000000,1316.49,1318.27,1316.45,1317.9
1514907900000,1317.89,1318.42,1317.61,1318.2
1514908800000,1318.21,1318.81,1317.5,1317.97
1514909700000,1317.99,1318.07,1317.31,1317.6
1514910600000,1317.41,1317.96,1317.36,1317.95
1514911500000,1317.93,1318.06,1317.18,1317.23
1514912400000,1317.23,1317.23,1317.23,1317.23
1514916000000,1317.43,1318.3,1317.13,1318.3
1514916900000,1318.28,1318.86,1318.13,1318.58
1514917800000,1318.57,1321.35,1318.46,1320.69
1514918700000,1320.68,1320.76,1319.85,1320.12
1514919600000,1320.17,1320.91,1320.09,1320.81
1514920500000,1320.84,1321.16,1320.51,1320.56
1514921400000,1320.58,1321.11,1320.15,1321.02
1514922300000,1321.01,1321.14,1320.49,1320.51
1514923200000,1320.52,1320.54,1318.6,1320.31
1514924100000,1320.32,1320.54,1319.49,1319.57
1514925000000,1319.55,1319.58,1316.77,1317.73
1514925900000,1317.74,1318.18,1317.03,1318.12
1514926800000,1318.11,1318.29,1316.66,1316.69
1514927700000,1316.68,1317.16,1315.43,1315.81
1514928600000,1315.8,1315.84,1312.63,1312.94
1514929500000,1312.93,1314.27,1311.84,1312.13
1514930400000,1312.14,1312.86,1311.82,1312.03
1514931300000,1312.05,1313.18,1311.92,1312.51
1514932200000,1312.53,1314.05,1312.51,1313.86
1514933100000,1313.85,1314.61,1313.84,1313.98
1514934000000,1313.97,1313.98,1312.17,1313.32
1514934900000,1313.31,1313.82,1313.12,1313.59
1514935800000,1313.51,1314,1313.49,1313.53
1514936700000,1313.54,1313.64,1313,1313.5
1514937600000,1313.53,1313.73,1313.19,1313.7
1514938500000,1313.71,1314.16,1313.6,1313.96
1514939400000,1313.94,1314.62,1313.71,1314.42
1514940300000,1314.4,1314.66,1313.93,1314.51
1514941200000,1314.5,1315.31,1314.32,1315.04
1514942100000,1315.05,1315.06,1314.41,1314.54
1514943000000,1314.53,1314.61,1312.85,1313.96
1514943900000,1313.93,1314.06,1312.92,1313.11
1514944800000,1313.09,1313.25,1311.74,1312.34
1514945700000,1312.35,1313.07,1312.33,1312.83
1514946600000,1312.84,1314.21,1312.79,1313.7
1514947500000,1313.67,1313.7,1312.65,1313.56
1514948400000,1313.57,1314.26,1313.36,1314.23
1514949300000,1314.25,1315.02,1313.91,1314.75
1514950200000,1314.74,1315.07,1314.04,1314.44
1514951100000,1314.43,1314.99,1314.07,1314.28
1514952000000,1314.3,1314.75,1313.82,1314.53
1514952900000,1314.55,1314.83,1314.37,1314.5
1514953800000,1314.48,1314.48,1313.87,1314.03
1514954700000,1314,1314.56,1313.76,1314.5
1514955600000,1314.51,1314.86,1314.38,1314.39
1514956500000,1314.4,1314.77,1313.76,1313.99
1514957400000,1314.01,1314.24,1313.52,1313.73
1514958300000,1313.76,1314.36,1313.67,1313.94
1514959200000,1313.96,1314.51,1313.53,1313.91
1514960100000,1313.93,1314.3,1313.61,1314.16
1514961000000,1314.14,1314.8,1314.14,1314.74
1514961900000,1314.75,1316.19,1314.43,1315.6
1514962800000,1315.59,1317.41,1315.54,1317.4
1514963700000,1317.39,1317.43,1316.61,1316.71
1514964600000,1316.7,1316.81,1315.16,1316.6
1514965500000,1316.61,1317.04,1313.32,1314.75
1514966400000,1314.76,1315.6,1314.43,1315.27
1514967300000,1315.28,1316.28,1315.05,1315.16
1514968200000,1315.08,1316.43,1315.07,1316.07
1514969100000,1316.08,1316.34,1314.92,1316.32
1514970000000,1316.33,1317.74,1315.12,1317.11
1514970900000,1317.04,1317.84,1316.62,1317.47
1514971800000,1317.46,1317.54,1316.4,1317.41
1514972700000,1317.39,1317.82,1316.69,1316.88
1514973600000,1316.63,1316.69,1314.67,1316.32
1514974500000,1316.3,1316.48,1315.22,1315.41
1514975400000,1315.38,1316.88,1315.22,1316.52
1514976300000,1316.51,1316.98,1315.78,1316.42
1514977200000,1316.44,1317.02,1315.97,1316.18
1514978100000,1316.15,1316.3,1315.69,1315.94
1514979000000,1315.9,1317.04,1315.89,1316.57
1514979900000,1316.58,1317.27,1316.54,1316.98
1514980800000,1316.91,1317.3,1316.52,1316.55
1514981700000,1316.54,1316.78,1316.23,1316.46
1514982600000,1316.44,1316.97,1315.62,1315.87
1514983500000,1315.89,1316.4,1315.65,1315.67
1514984400000,1315.71,1316.37,1315.67,1315.97
1514985300000,1315.94,1317.12,1315.91,1316.98
