Etc/UTC,Open,High,Low,Close,Volume
2026-09-20T21:00:00+00:00,1.14808,1.14819,1.14808,1.14819,2070000
2026-09-20T21:02:00+00:00,1.14819,1.14819,1.14819,1.14819,1800000
2026-09-20T21:03:00+00:00,1.14819,1.14819,1.14819,1.14819,900000
2026-09-20T21:04:00+00:00,1.14819,1.1482,1.14819,1.1482,3600000
2026-09-20T21:05:00+00:00,1.14813,1.14817,1.14813,1.14815,5940000
2026-09-20T21:06:00+00:00,1.14812,1.14812,1.14812,1.14812,900000
2026-09-20T21:08:00+00:00,1.14817,1.14817,1.14817,1.14817,900000
2026-09-20T21:09:00+00:00,1.14815,1.14816,1.14815,1.14816,3600000
2026-09-20T21:10:00+00:00,1.14815,1.14817,1.14815,1.14817,1800000
2026-09-20T21:11:00+00:00,1.14818,1.14818,1.1481,1.1481,1800000
2026-09-20T21:12:00+00:00,1.14819,1.14819,1.14819,1.14819,6300000
2026-09-20T21:13:00+00:00,1.1482,1.1482,1.1482,1.1482,900000
2026-09-20T21:14:00+00:00,1.14818,1.1482,1.14818,1.1482,1800000
2026-09-20T21:15:00+00:00,1.14819,1.14819,1.14818,1.14819,3600000
2026-09-20T21:16:00+00:00,1.14818,1.14818,1.14818,1.14818,1800000
2026-09-20T21:17:00+00:00,1.14826,1.14831,1.14826,1.14831,1800000
2026-09-20T21:18:00+00:00,1.14832,1.14832,1.14832,1.14832,900000
2026-09-20T21:19:00+00:00,1.14833,1.14834,1.14833,1.14833,3600000
2026-09-20T21:20:00+00:00,1.14833,1.14845,1.14833,1.14845,5220000
2026-09-20T21:21:00+00:00,1.14837,1.14837,1.14835,1.14835,1800000
2026-09-20T21:22:00+00:00,1.14834,1.14834,1.14834,1.14834,900000
2026-09-20T21:23:00+00:00,1.1483,1.14833,1.1483,1.14833,2340000
2026-09-20T21:24:00+00:00,1.14833,1.14833,1.14824,1.14824,8190000
2026-09-20T21:25:00+00:00,1.14823,1.14823,1.14818,1.14818,2970000
2026-09-20T21:27:00+00:00,1.14818,1.14818,1.14803,1.14803,6840000
2026-09-20T21:28:00+00:00,1.14805,1.14807,1.14798,1.14799,24210000
2026-09-20T21:29:00+00:00,1.148,1.14802,1.14794,1.14794,4050000
2026-09-20T21:30:00+00:00,1.14793,1.14797,1.14789,1.14792,14400000
2026-09-20T21:31:00+00:00,1.14792,1.14798,1.14769,1.14769,19260000
2026-09-20T21:32:00+00:00,1.14769,1.14788,1.14769,1.14788,8460000
2026-09-20T21:33:00+00:00,1.14788,1.14796,1.14788,1.14793,11700000
2026-09-20T21:34:00+00:00,1.14789,1.1479,1.14785,1.14787,11020000
2026-09-20T21:35:00+00:00,1.14788,1.14788,1.14786,1.14786,3600000
2026-09-20T21:36:00+00:00,1.14786,1.14787,1.14786,1.14786,7200000
2026-09-20T21:37:00+00:00,1.14786,1.14787,1.14786,1.14787,1800000
2026-09-20T21:38:00+00:00,1.14788,1.14789,1.14788,1.14789,5400000
2026-09-20T21:39:00+00:00,1.1479,1.14804,1.14789,1.14803,4500000
2026-09-20T21:40:00+00:00,1.14809,1.14809,1.14796,1.148,6300000
2026-09-20T21:41:00+00:00,1.14792,1.14792,1.14781,1.14782,7600000
2026-09-20T21:42:00+00:00,1.14783,1.14798,1.14782,1.14792,5940000
2026-09-20T21:43:00+00:00,1.14795,1.14801,1.14789,1.14795,10700000
2026-09-20T21:44:00+00:00,1.14799,1.14804,1.14793,1.14798,4500000
2026-09-20T21:45:00+00:00,1.14807,1.14808,1.14801,1.14801,1740000
2026-09-20T21:46:00+00:00,1.14801,1.14801,1.14801,1.14801,1800000
2026-09-20T21:47:00+00:00,1.14801,1.14801,1.14788,1.14791,7920000
2026-09-20T21:48:00+00:00,1.14794,1.14794,1.14754,1.14788,52290000
2026-09-20T21:49:00+00:00,1.14793,1.14797,1.14788,1.14788,5400000
2026-09-20T21:50:00+00:00,1.14787,1.14794,1.14787,1.14794,1800000
2026-09-20T21:51:00+00:00,1.14794,1.14803,1.14794,1.14803,9000000
2026-09-20T21:52:00+00:00,1.14803,1.14804,1.14803,1.14804,3600000
2026-09-20T21:53:00+00:00,1.14806,1.14807,1.14806,1.14807,1800000
2026-09-20T21:54:00+00:00,1.14807,1.14808,1.14807,1.14808,1800000
2026-09-20T21:55:00+00:00,1.14807,1.14807,1.14807,1.14807,900000
2026-09-20T21:56:00+00:00,1.14802,1.14802,1.14798,1.14798,4050000
2026-09-20T21:57:00+00:00,1.14799,1.14799,1.14791,1.14791,3600000
2026-09-20T21:58:00+00:00,1.14792,1.14792,1.14792,1.14792,900000
2026-09-20T22:00:00+00:00,1.14783,1.14813,1.14781,1.14813,90810000
2026-09-20T22:01:00+00:00,1.14818,1.14827,1.14817,1.14824,68220000
2026-09-20T22:02:00+00:00,1.14824,1.1483,1.14824,1.14827,69570000
2026-09-20T22:03:00+00:00,1.14829,1.1483,1.14827,1.14828,58950000
2026-09-20T22:04:00+00:00,1.14833,1.14845,1.14833,1.14842,88200000
2026-09-20T22:05:00+00:00,1.14844,1.14847,1.14841,1.14844,87300000
2026-09-20T22:06:00+00:00,1.14845,1.14845,1.14842,1.14842,26100000
2026-09-20T22:07:00+00:00,1.14842,1.14845,1.14842,1.14845,33300000
2026-09-20T22:08:00+00:00,1.14844,1.14844,1.14842,1.14843,11700000
2026-09-20T22:09:00+00:00,1.14842,1.14843,1.14839,1.14839,28800000
2026-09-20T22:10:00+00:00,1.14839,1.1484,1.14834,1.14834,36900000
2026-09-20T22:11:00+00:00,1.14835,1.14839,1.14834,1.14838,40500000
2026-09-20T22:12:00+00:00,1.14836,1.1484,1.14836,1.14838,9000000
