time,open,high,low,close
1772157600000,67365.5,67492.5,67308.5,67334.5
1772158500000,67333.5,67539.5,67274.5,67417.5
1772159400000,67416.5,67551.5,67363.5,67444.5
1772160300000,67446.5,67499.5,67262.5,67272.5
1772161200000,67272.5,67308.5,67123.5,67189.5
1772162100000,67189.5,67245.5,67102.5,67123.5
1772163000000,67122.5,67415.5,67120.5,67411.5
1772163900000,67407.5,67727.5,67340.5,67613.5
1772164800000,67614.5,67979.5,67586.5,67940.5
1772165700000,67940.5,68236.5,67885.5,67960.5
1772166600000,67960.5,67982.5,67685.5,67776.5
1772167500000,67775.5,67980.5,67692.5,67763.5
1772168400000,67751.5,67928.5,67718.5,67871.5
1772169300000,67870.5,67902.5,67692.5,67813.5
1772170200000,67813.5,67895.5,67784.5,67855.5
1772171100000,67853.5,67876.5,67669.5,67739.5
1772172000000,67738.5,67798.5,67666.5,67678.5
1772172900000,67677.5,67721.5,67539.5,67619.5
1772173800000,67619.5,67791.5,67598.5,67759.5
1772174700000,67759.5,67842.5,67659.5,67668.5
1772175600000,67665.5,67739.5,67581.5,67666.5
1772176500000,67667.5,67682.5,67490.5,67519.5
1772177400000,67519.5,67644.5,67458.5,67547.5
1772178300000,67546.5,67776.5,67524.5,67684.5
1772179200000,67688.5,68062.5,67652.5,67908.5
1772180100000,67909.5,67998.5,67864.5,67973.5
1772181000000,67974.5,68045.5,67741.5,67936.5
1772181900000,67942.5,68083.5,67895.5,67946.5
1772182800000,67946.5,68080.5,67847.5,67996.5
1772183700000,67992.5,68165.5,67892.5,68053.5
1772184600000,68054.5,68077.5,67628.5,67644.5
1772185500000,67643.5,67648.5,67305.5,67375.5
1772186400000,67375.5,67436.5,66843.5,66888.5
1772187300000,66892.5,67071.5,66689.5,66798.5
1772188200000,66799.5,66961.5,66707.5,66816.5
1772189100000,66815.5,66851.5,66575.5,66610.5
1772190000000,66609.5,66785.5,66606.5,66706.5
1772190900000,66702.5,66710.5,66360.5,66539.5
1772191800000,66536.5,66578.5,65965.5,66012.5
1772192700000,66010.5,66170.5,65983.5,66124.5
1772193600000,66119.5,66204.5,65920.5,65989.5
1772194500000,65990.5,66122.5,65847.5,65913.5
1772195400000,65907.5,66053.5,65851.5,65905.5
1772196300000,65901.5,65942.5,65722.5,65942.5
