time,open,high,low,close
1770969600000,24864.95,24901.95,24807.95,24824.95
1770970500000,24823.95,24843.45,24753.95,24826.45
1770971400000,24825.45,24859.45,24810.95,24847.95
1770972300000,24849.95,24877.95,24849.95,24869.95
1770973200000,24872.95,24874.95,24805.95,24809.95
1770974100000,24808.95,24867.95,24807.95,24839.95
1770975000000,24838.95,24846.95,24813.95,24816.95
1770975900000,24817.95,24864.95,24813.95,24831.95
1770976800000,24830.55,24849.95,24813.95,24838.95
1770977700000,24841.95,24881.95,24831.95,24879.95
1770978600000,24880.95,24882.95,24849.95,24860.95
1770979500000,24863.95,24866.95,24813.95,24822.95
1770980400000,24821.95,24831.95,24805.95,24821.95
1770981300000,24822.95,24842.95,24809.95,24811.95
1770982200000,24812.95,24832.95,24780.95,24822.95
1770983100000,24823.95,24865.95,24808.95,24860.95
1770984000000,24853.95,24865.95,24830.95,24846.95
1770984900000,24847.95,24865.95,24836.95,24851.95
1770985800000,24852.95,24862.95,24832.95,24839.95
1770986700000,24840.95,24878.95,24811.95,24851.95
1770987600000,24850.95,24885.95,24834.95,24840.95
1770988500000,24841.95,24881.95,24832.95,24877.15
1770989400000,24875.15,24939.95,24875.15,24907.95
1770990300000,24906.95,24934.95,24873.55,24911.95
1770991200000,24910.95,24948.95,24895.95,24905.95
1770992100000,24906.95,24914.95,24868.95,24890.95
1770993000000,24889.95,24906.95,24813.95,24870.95
1770993900000,24871.95,24914.95,24814.95,24840.95
1770994800000,24837.95,24903.95,24834.95,24886.95
1770995700000,24885.95,24928.95,24870.95,24918.95
1770996600000,24917.95,24953.95,24881.95,24883.95
1770997500000,24884.95,24921.95,24869.95,24900.95
1770998400000,24899.95,24933.95,24895.95,24923.95
1770999300000,24921.95,24960.95,24899.95,24905.95
1771000200000,24904.95,24929.95,24885.95,24924.95
1771001100000,24925.95,24943.95,24923.95,24927.95
1771002000000,24926.95,24950.95,24920.95,24949.95
1771002900000,24948.95,24959.95,24931.95,24949.95
1771003800000,24950.95,24987.95,24948.95,24969.95
1771004700000,24968.95,24976.95,24942.95,24950.95
1771005600000,24951.95,24959.95,24925.95,24955.95
1771006500000,24956.95,24982.95,24952.95,24957.95
1771007400000,24957.55,24974.95,24949.95,24952.95
1771008300000,24953.95,24966.95,24936.95,24942.95
1771009200000,24941.95,24956.95,24934.95,24948.95
1771010100000,24947.95,24961.15,24932.95,24935.95
1771011000000,24936.95,24949.95,24916.95,24926.95
1771011900000,24925.95,24941.95,24896.95,24898.95
1771012800000,24899.95,24911.95,24896.95,24896.95
1771013700000,24895.95,24909.95,24866.95,24871.95
1771014600000,24869.95,24885.95,24860.45,24880.95
1771015500000,24879.55,24926.95,24877.55,24906.05
1771016400000,24906.050000000003,24923.15,24887.15,24911.15
1771017300000,24910.15,24911.15,24888.15,24895.15
1771018200000,24896.15,24901.15,24891.15,24892.15
1771019100000,24893.15,24904.15,24886.15,24890.140000000003
1771196400000,24908.15,24937.15,24878.15,24918.15
1771197300000,24919.15,24936.15,24916.15,24929.15
1771198200000,24930.15,24937.15,24916.15,24930.15
1771199100000,24929.15,24939.15,24910.15,24939.15
1771200000000,24941.15,24949.15,24923.15,24944.15
1771200900000,24943.149999999998,24945.05,24905.85,24913.85
1771201800000,24913.85,24928.35,24911.35,24911.35
1771202700000,24912.35,24922.35,24905.85,24912.85
1771203600000,24914.85,24929.35,24907.85,24911.85
1771204500000,24911.85,24919.149999999998,24907.35,24909.85
1771205400000,24912.35,24916.35,24902.35,24907.85
1771206300000,24907.85,24925.85,24907.35,24924.85
1771207200000,24925.85,24939.149999999998,24913.35,24920.85
1771208100000,24920.85,24933.35,24919.35,24926.35
1771209000000,24925.35,24936.35,24923.85,24927.85
1771209900000,24928.85,24931.75,24921.85,24925.85
1771210800000,24926.85,24934.149999999998,24920.85,24932.35
1771211700000,24931.75,24940.35,24924.85,24928.35
1771212600000,24929.75,24934.85,24925.85,24934.35
1771213500000,24933.75,24940.85,24932.35,24940.35
1771214400000,24940.85,24957.149999999998,24940.35,24951.85
1771215300000,24953.35,24955.85,24944.85,24955.35
1771216200000,24957.85,24958.85,24948.85,24951.85
1771217100000,24948.85,24964.149999999998,24946.85,24954.85
1771218000000,24952.85,24953.85,24944.75,24948.85
1771218900000,24947.35,24948.85,24939.35,24942.75
1771219800000,24942.15,24943.15,24928.15,24929.75
1771220700000,24928.35,24940.149999999998,24924.35,24932.35
1771221600000,24931.85,24938.149999999998,24929.85,24935.35
1771222500000,24934.15,24938.35,24920.75,24937.75
1771223400000,24935.75,24951.65,24931.75,24949.35
1771224300000,24948.35,24954.149999999998,24946.35,24954.149999999998
1771225200000,24954.75,24984.95,24948.75,24971.95
1771226100000,24973.55,24982.95,24965.95,24976.95
1771227000000,24975.95,25005.15,24971.95,25002.15
1771227900000,25003.15,25017.15,24994.15,25017.15
1771228800000,25014.15,25023.15,24972.15,25002.15
1771229700000,25001.15,25012.15,24965.15,24967.15
1771230600000,24965.15,24990.15,24944.95,24962.95
1771231500000,24961.95,24981.95,24944.95,24964.95
1771232400000,24965.95,25000.45,24953.95,24997.45
1771233300000,24998.45,24998.45,24978.45,24986.45
1771234200000,24982.45,24984.45,24947.45,24948.45
1771235100000,24949.45,24955.45,24932.45,24945.45
1771236000000,24946.45,24957.45,24921.45,24928.45
1771236900000,24927.45,24927.45,24904.45,24920.45
1771237800000,24919.45,24948.45,24902.45,24946.45
1771238700000,24947.45,24953.45,24934.45,24936.45
1771239600000,24935.45,24935.45,24910.45,24928.45
1771240500000,24927.45,24948.45,24917.45,24947.45
1771241400000,24946.45,24950.45,24919.45,24947.45
1771242300000,24946.45,24957.45,24931.45,24944.45
1771243200000,24941.45,24955.45,24926.45,24947.45
1771244100000,24946.45,24964.45,24941.45,24959.45
1771245000000,24960.45,24960.45,24922.45,24922.45
1771245900000,24923.45,24935.45,24919.45,24927.45
1771246800000,24928.45,24930.45,24903.45,24904.45
1771247700000,24903.45,24936.45,24901.45,24930.45
1771248600000,24929.45,24937.45,24912.45,24931.45
1771249500000,24932.45,24938.45,24916.45,24916.45
1771250400000,24915.45,24920.95,24890.95,24890.95
1771251300000,24889.95,24892.95,24859.95,24871.95
1771252200000,24870.95,24880.95,24843.95,24856.95
1771253100000,24855.95,24887.95,24839.95,24872.95
1771254000000,24873.95,24902.95,24871.95,24883.95
1771254900000,24881.95,24893.95,24866.95,24872.95
1771255800000,24871.95,24881.95,24859.95,24860.95
1771256700000,24859.95,24880.95,24820.95,24821.95
1771257600000,24825.95,24834.95,24798.95,24826.95
1771258500000,24827.95,24829.95,24799.95,24818.95
1771259400000,24817.95,24836.95,24793.95,24831.95
1771260300000,24832.95,24840.95,24824.95,24827.95
1771261200000,24828.95,24838.95,24824.95,24832.95
1771262100000,24831.95,24833.95,24826.95,24832.95
1771263000000,24833.55,24841.95,24830.95,24835.95
1771263900000,24836.95,24838.95,24830.95,24838.95
1771264800000,24837.95,24838.95,24833.55,24836.95
1771265700000,24837.95,24841.95,24836.95,24838.55
1771266600000,24837.95,24839.95,24834.95,24835.95
1771267500000,24836.55,24838.95,24827.95,24827.95
1771268400000,24828.949999999997,24834.55,24824.85,24824.85
1771269300000,24823.55,24831.95,24822.95,24831.95
1771270200000,24832.95,24832.95,24830.95,24830.95
1771271100000,24831.95,24834.95,24830.95,24834.95
1771272000000,24835.95,24837.95,24835.95,24835.95
1771272900000,24836.55,24837.95,24833.95,24834.95
1771273800000,24833.95,24833.95,24825.95,24826.55
1771274700000,24827.55,24838.05,24824.95,24831.05
1771275600000,24831.15,24831.15,24831.15,24831.15
1771282800000,24846.75,24863.62,24829.75,24856.62
1771283700000,24855.62,24860.62,24845.75,24854.75
1771284600000,24855.75,24870.75,24855.75,24863.75
1771285500000,24864.75,24876.75,24854.76,24858.76
1771286400000,24859.76,24862.75,24836.75,24857.75
1771287300000,24858.75,24862.350000000002,24843.65,24848.45
1771288200000,24849.45,24851.95,24826.45,24839.350000000002
1771289100000,24838.95,24839.75,24823.95,24831.45
1771290000000,24829.95,24851.75,24825.95,24844.95
1771290900000,24845.95,24847.95,24820.45,24824.45
1771291800000,24825.45,24835.45,24820.95,24821.45
1771292700000,24820.95,24828.95,24761.95,24774.45
1771293600000,24770.449999999997,24779.449999999997,24760.35,24777.449999999997
1771294500000,24777.45,24793.95,24774.95,24793.350000000002
1771295400000,24792.350000000002,24796.45,24785.95,24792.95
1771296300000,24791.95,24797.45,24779.45,24787.95
1771297200000,24788.45,24789.45,24750.95,24761.45
1771298100000,24760.45,24775.75,24757.95,24768.75
1771299000000,24769.75,24769.75,24717.35,24730.75
1771299900000,24731.75,24742.350000000002,24720.95,24734.95
1771300800000,24735.95,24740.95,24729.45,24731.45
1771301700000,24730.45,24739.95,24719.95,24727.45
1771302600000,24728.45,24728.45,24712.45,24718.45
1771303500000,24716.95,24730.95,24716.95,24727.45
1771304400000,24728.45,24738.75,24722.45,24731.95
1771305300000,24731.45,24733.75,24684.45,24717.45
1771306200000,24717.95,24726.350000000002,24701.95,24715.45
1771307100000,24716.45,24723.350000000002,24699.45,24703.95
1771308000000,24703.45,24743.350000000002,24703.45,24727.45
1771308900000,24726.45,24736.75,24722.45,24724.75
1771309800000,24726.25,24744.75,24716.45,24730.45
1771310700000,24730.95,24736.75,24722.45,24722.95
1771311600000,24722.45,24738.55,24709.55,24716.55
1771312500000,24714.55,24744.35,24700.55,24710.55
1771313400000,24711.55,24747.35,24707.55,24726.55
1771314300000,24726.149999999998,24765.55,24725.55,24753.55
1771315200000,24758.550000000003,24805.550000000003,24738.15,24777.550000000003
1771316100000,24776.55,24804.55,24756.55,24803.55
1771317000000,24802.550000000003,24824.75,24769.65,24771.75
1771317900000,24769.75,24806.75,24768.75,24799.75
1771318800000,24798.75,24852.75,24798.75,24821.05
1771319700000,24818.05,24854.05,24818.05,24850.05
1771320600000,24849.05,24879.25,24849.05,24870.55
1771321500000,24870.05,24874.05,24841.55,24869.55
1771322400000,24870.149999999998,24886.55,24836.55,24847.55
1771323300000,24848.55,24871.55,24846.55,24852.55
1771324200000,24850.55,24857.55,24823.55,24828.55
1771325100000,24827.55,24848.55,24816.55,24820.55
1771326000000,24819.55,24828.55,24784.55,24817.55
1771326900000,24814.55,24842.55,24790.55,24839.55
1771327800000,24840.55,24863.55,24832.55,24850.55
1771328700000,24851.55,24875.55,24846.55,24865.55
1771329600000,24866.55,24873.55,24856.55,24860.55
1771330500000,24859.55,24860.55,24822.55,24828.55
1771331400000,24830.55,24833.55,24796.55,24810.55
1771332300000,24809.55,24811.55,24770.55,24775.55
1771333200000,24773.55,24777.55,24737.55,24765.55
1771334100000,24766.55,24835.55,24761.55,24820.149999999998
1771335000000,24819.25,24836.55,24806.55,24834.55
1771335900000,24835.55,24881.55,24819.55,24843.55
1771336800000,24845.55,24895.55,24842.55,24880.55
1771337700000,24879.55,24895.55,24867.55,24884.55
1771338600000,24885.55,24947.55,24885.55,24906.55
1771339500000,24908.55,24924.55,24824.55,24836.75
1771340400000,24838.55,24892.55,24835.55,24861.55
1771341300000,24862.55,24931.55,24855.55,24889.55
1771342200000,24890.55,24896.55,24854.55,24874.55
1771343100000,24873.55,24911.55,24872.55,24899.55
1771344000000,24901.55,24994.55,24885.55,24989.55
1771344900000,24990.55,25029.55,24979.55,25009.55
1771345800000,25005.55,25026.55,24986.55,25008.55
1771346700000,25009.55,25019.55,24989.55,25004.55
1771347600000,25005.55,25008.55,24952.55,24963.55
1771348500000,24962.55,24991.55,24962.55,24991.55
1771349400000,24991.149999999998,24998.55,24946.55,24948.55
1771350300000,24947.55,24978.55,24935.55,24976.55
1771351200000,24977.55,24983.55,24960.55,24971.55
1771352100000,24970.55,25016.55,24966.55,25004.55
1771353000000,25004.149999999998,25039.55,25000.55,25030.55
1771353900000,25031.55,25057.55,25029.55,25048.55
1771354800000,25047.55,25051.55,25029.55,25042.55
1771355700000,25041.55,25047.55,25031.55,25033.55
1771356600000,25034.55,25052.55,25031.55,25051.55
1771357500000,25050.55,25051.55,25030.55,25033.55
1771358400000,25034.55,25046.55,25026.55,25034.55
1771359300000,25035.15,25040.55,25025.75,25034.55
1771360200000,25033.55,25045.55,25020.55,25040.55
1771361100000,25039.55,25043.55,25025.55,25037.649999999998
1771362000000,25037.65,25046.75,25025.75,25040.75
1771362900000,25039.75,25064.75,25039.75,25048.75
1771363800000,25047.75,25048.75,25030.75,25039.75
1771364700000,25038.75,25043.75,25032.75,25038.75
1771369200000,25041.15,25046.15,25015.15,25022.15
1771370100000,25023.15,25037.15,25014.15,25028.15
1771371000000,25029.15,25034.15,25008.15,25013.15
1771371900000,25012.15,25014.15,24998.15,25002.15
1771372800000,25003.15,25031.58,25001.15,25030.15
1771373700000,25031.149999999998,25034.149999999998,25019.05,25026.85
1771374600000,25027.85,25036.149999999998,25021.85,25028.149999999998
1771375500000,25028.75,25029.149999999998,25017.85,25023.85
1771376400000,25024.85,25038.75,25020.85,25028.85
1771377300000,25027.85,25042.35,25021.85,25029.35
1771378200000,25028.75,25034.35,25022.85,25031.35
1771379100000,25032.75,25032.75,25019.35,25028.35
1771380000000,25028.75,25032.85,25021.35,25026.85
1771380900000,25026.85,25026.85,25016.85,25021.75
1771381800000,25022.35,25033.149999999998,25021.85,25030.75
1771382700000,25032.15,25032.15,25020.65,25023.75
1771383600000,25025.149999999998,25027.149999999998,25007.35,25013.75
1771384500000,25013.85,25022.149999999998,25007.85,25020.35
1771385400000,25019.75,25027.85,25018.75,25026.15
1771386300000,25025.75,25038.35,25025.75,25034.35
1771387200000,25035.35,25052.75,25032.35,25047.35
1771388100000,25046.75,25054.149999999998,25040.35,25051.149999999998
1771389000000,25050.15,25076.15,25050.15,25071.850000000002
1771389900000,25078.149999999998,25078.149999999998,25065.85,25076.149999999998
1771390800000,25076.75,25078.149999999998,25063.35,25077.75
1771391700000,25078.149999999998,25085.649999999998,25072.85,25078.35
1771392600000,25079.75,25087.149999999998,25072.85,25073.85
1771393500000,25075.75,25078.75,25068.85,25076.75
1771394400000,25077.35,25086.15,25068.75,25071.35
1771395300000,25071.85,25083.149999999998,25071.85,25079.75
1771396200000,25079.350000000002,25086.75,25071.15,25079.850000000002
1771397100000,25077.85,25090.149999999998,25066.35,25069.85
1771398000000,25068.850000000002,25081.95,25046.15,25054.95
1771398900000,25055.95,25068.95,25049.95,25068.95
1771399800000,25067.95,25078.95,25065.95,25072.55
1771400700000,25072.95,25073.95,25045.95,25058.95
1771401600000,25062.95,25158.95,25057.95,25114.95
1771402500000,25115.95,25177.95,25109.75,25120.75
1771403400000,25122.75,25157.95,25121.75,25145.95
1771404300000,25146.95,25181.95,25125.95,25170.95
1771405200000,25171.95,25182.95,25147.45,25157.45
1771406100000,25158.45,25168.45,25128.45,25162.45
1771407000000,25161.45,25199.45,25157.45,25193.45
1771407900000,25192.45,25207.45,25181.45,25196.45
1771408800000,25195.45,25218.65,25188.45,25206.65
1771409700000,25205.65,25213.95,25194.95,25208.95
1771410600000,25209.95,25222.25,25200.55,25221.25
1771411500000,25222.25,25250.25,25210.25,25249.25
1771412400000,25250.25,25269.25,25230.35,25242.35
1771413300000,25243.35,25248.35,25223.35,25240.35
1771414200000,25239.35,25240.35,25200.35,25210.35
1771415100000,25209.35,25223.35,25208.35,25214.35
1771416000000,25213.35,25254.35,25213.35,25254.35
1771416900000,25253.35,25254.35,25215.35,25224.35
1771417800000,25222.35,25222.35,25182.85,25198.85
1771418700000,25197.85,25224.85,25196.85,25218.85
1771419600000,25217.85,25221.85,25189.85,25203.85
1771420500000,25202.85,25207.85,25169.85,25193.85
1771421400000,25194.85,25202.85,25177.85,25182.85
1771422300000,25181.85,25182.85,25119.85,25126.85
1771423200000,25128.85,25153.85,25104.85,25142.85
1771424100000,25141.25,25155.85,25129.85,25146.85
1771425000000,25147.85,25222.85,25121.85,25217.85
1771425900000,25216.85,25251.85,25195.85,25249.85
1771426800000,25250.85,25286.85,25250.85,25279.85
1771427700000,25278.85,25283.85,25250.85,25275.85
1771428600000,25276.85,25291.85,25265.85,25268.85
1771429500000,25266.85,25319.85,25262.85,25312.85
1771430400000,25313.85,25328.85,25293.85,25298.85
1771431300000,25297.85,25311.85,25289.85,25297.85
1771432200000,25294.85,25308.85,25275.85,25291.85
1771433100000,25292.85,25299.85,25273.85,25279.85
1771434000000,25280.85,25302.85,25272.85,25294.85
1771434900000,25293.85,25302.85,25293.85,25300.85
1771435800000,25301.85,25308.85,25289.85,25302.85
1771436700000,25301.85,25308.85,25297.85,25299.85
1771437600000,25300.05,25312.85,25292.85,25296.85
1771438500000,25297.85,25298.85,25238.85,25247.85
1771439400000,25249.85,25279.85,25233.85,25264.85
1771440300000,25263.85,25275.85,25240.85,25260.85
1771441200000,25249.25,25270.85,25245.25,25250.85
1771442100000,25249.85,25261.85,25241.85,25255.85
