time,open,high,low,close
1662737940000,1718.51,1718.53,1718.08,1718.08
1662738000000,1718.1,1718.4599999999998,1718.1,1718.4599999999998
1662738060000,1718.4499999999998,1718.47,1717.84,1717.85
1662738120000,1717.84,1718.28,1717.74,1717.95
1662738180000,1717.93,1718.55,1717.93,1718.55
1662738240000,1718.57,1718.6499999999999,1718.31,1718.57
1662738300000,1718.5900000000001,1718.5900000000001,1718.18,1718.25
1662738360000,1718.24,1718.3500000000001,1717.92,1718.1200000000001
1662738420000,1718.2099999999998,1718.2099999999998,1717.85,1718.1599999999999
1662738480000,1718.1399999999999,1718.1499999999999,1717.29,1717.37
1662738540000,1717.42,1717.42,1717.04,1717.04
1662738600000,1717.1399999999999,1717.47,1717.03,1717.12
1662738660000,1717.16,1717.19,1716.91,1717.01
1662738720000,1717.04,1717.16,1716.68,1716.76
1662738780000,1716.79,1717,1716.75,1716.79
1662738840000,1716.81,1716.83,1716.37,1716.5
1662738900000,1716.5200000000002,1716.72,1716.39,1716.5300000000002
1662738960000,1716.52,1716.67,1716.45,1716.47
1662739020000,1716.49,1717.18,1716.49,1717.09
1662739080000,1717.08,1717.1999999999998,1716.87,1717
1662739140000,1717.01,1717.01,1716.77,1716.84
1662739200000,1716.89,1717.28,1716.45,1716.45
1662739260000,1716.4499999999998,1716.4499999999998,1715.86,1715.8999999999999
1662739320000,1715.92,1716.17,1715.68,1716.01
1662739380000,1716.02,1716.0700000000002,1715.65,1715.88
1662739440000,1715.9099999999999,1716.32,1715.87,1716.1
1662739500000,1716.1200000000001,1716.2800000000002,1715.63,1715.67
1662739560000,1715.64,1716.13,1715.64,1716.0400000000002
1662739620000,1716.07,1716.3,1716,1716.04
1662739680000,1716.0300000000002,1716.0900000000001,1715.9,1716.0300000000002
1662739740000,1716.1000000000001,1716.14,1715.65,1715.89
1662739800000,1715.89,1715.93,1715.38,1715.5100000000002
1662739860000,1715.51,1715.92,1715.4,1715.5700000000002
1662739920000,1715.58,1716.12,1715.57,1715.9099999999999
1662739980000,1715.93,1716.7700000000002,1715.88,1716.75
1662740040000,1716.7700000000002,1716.8400000000001,1716.63,1716.8400000000001
1662740100000,1716.81,1716.81,1716.1,1716.1999999999998
1662740160000,1716.17,1716.26,1715.5,1715.51
1662740220000,1715.47,1715.97,1715.41,1715.8200000000002
1662740280000,1715.82,1715.91,1715.5,1715.5
1662740340000,1715.47,1715.49,1715.03,1715.18
1662740400000,1715.1699999999998,1715.3999999999999,1715.08,1715.37
1662740460000,1715.35,1715.35,1715.04,1715.25
1662740520000,1715.2199999999998,1715.55,1715.11,1715.4799999999998
1662740580000,1715.48,1716.14,1715.48,1715.79
1662740640000,1715.82,1716.03,1715.53,1715.93
1662740700000,1715.9,1715.94,1715.47,1715.54
1662740760000,1715.6200000000001,1716.05,1715.47,1715.98
1662740820000,1715.94,1716.3500000000001,1715.94,1716.3300000000002
1662740880000,1716.3999999999999,1716.95,1716.3,1716.85
1662740940000,1716.88,1716.94,1716.72,1716.77
1662741000000,1716.8200000000002,1717.1100000000001,1716.69,1716.72
1662741060000,1716.68,1717.47,1716.66,1717.24
1662741120000,1717.29,1717.68,1717.2,1717.56
1662741180000,1717.6499999999999,1718.01,1717.54,1717.95
1662741240000,1717.94,1718.2700000000002,1717.88,1718.24
1662741300000,1718.16,1718.19,1717.91,1718.0400000000002
1662741360000,1717.98,1718,1717.7,1717.9
1662741420000,1717.9,1718.5,1717.76,1718.21
1662741480000,1718.21,1718.45,1718.01,1718.45
1662741540000,1718.45,1718.53,1718.22,1718.3
1662741600000,1718.37,1718.49,1718.02,1718.48
