time,open,high,low,close
1683889560000,4145.37,4145.87,4145.37,4145.62
1683889620000,4145.5,4145.62,4145.37,4145.37
1683889680000,4145.12,4145.12,4144.62,4144.87
1683889740000,4145,4145.62,4145,4145.37
1683889800000,4145.25,4145.37,4144.87,4145.12
1683889860000,4145.25,4145.62,4145.25,4145.37
1683889920000,4145.5,4145.75,4145.37,4145.62
1683889980000,4145.75,4146.37,4145.75,4145.87
1683890040000,4146.12,4146.62,4146,4146.12
1683890100000,4146.25,4146.62,4146.12,4146.12
1683890160000,4146.25,4146.37,4145.75,4145.87
1683890220000,4146.12,4146.12,4146,4146.12
1683890280000,4145.87,4145.87,4145.12,4145.12
1683890340000,4144.87,4145,4144.37,4144.62
1683890400000,4144.37,4145.12,4144.37,4144.87
1683890460000,4145.12,4145.12,4144.62,4144.87
1683890520000,4144.62,4144.87,4144.37,4144.37
1683890580000,4144.62,4144.62,4144.12,4144.37
1683890640000,4144.5,4144.62,4144.12,4144.37
1683890700000,4144.12,4144.12,4143.87,4144.12
1683890760000,4144.25,4144.37,4143.37,4143.62
1683890820000,4143.37,4143.62,4142.87,4143.12
1683890880000,4143,4143.12,4142.87,4142.87
1683890940000,4143.12,4143.37,4142.62,4142.62
1683891000000,4142.87,4142.87,4142.12,4142.37
1683891060000,4142.62,4143.37,4142.62,4143.12
1683891120000,4143.25,4144.12,4143.12,4143.87
1683891180000,4143.62,4143.87,4143.37,4143.87
1683891240000,4143.62,4144.12,4143.62,4144
1683891300000,4143.87,4144.12,4143.37,4143.62
1683891360000,4143.37,4143.37,4143.12,4143.37
1683891420000,4143.5,4143.62,4143.12,4143.12
1683891480000,4143.25,4144.12,4143.25,4144.12
1683891540000,4144,4144.12,4143.62,4143.87
1683891600000,4143.62,4143.62,4143.37,4143.37
1683891660000,4143.25,4143.5,4142.87,4143.37
1683891720000,4143.62,4144.25,4143.62,4144.12
1683891780000,4143.87,4144.12,4143.37,4143.62
1683891840000,4143.87,4144.12,4143.75,4143.87
1683891900000,4143.62,4143.62,4143.12,4143.12
1683891960000,4143.25,4143.25,4142.87,4142.87
1683892020000,4143.12,4143.12,4142.87,4143.12
1683892080000,4143.37,4143.37,4143.12,4143.37
1683892140000,4143.25,4143.87,4143.12,4143.62
1683892200000,4143.87,4143.87,4143.62,4143.62
1683892320000,4143.37,4143.87,4143.37,4143.87
1683892380000,4143.62,4143.62,4143.37,4143.37
1683892440000,4143.12,4143.37,4143.12,4143.12
1683892500000,4143,4143,4142.37,4142.87
1683892560000,4143.12,4143.12,4142.12,4142.12
1683892620000,4141.87,4142.37,4141.62,4142.37
1683892680000,4142.62,4143.12,4142.62,4143.12
1683892740000,4143,4143,4142.5,4142.62
1683892800000,4142.5,4142.62,4142.12,4142.62
1683892860000,4142.37,4144.37,4142.37,4143.37
1683892920000,4143.5,4143.87,4143.37,4143.37
1683892980000,4142.87,4143.12,4142.62,4142.87
1683893040000,4142.62,4142.62,4141.62,4141.87
1683893100000,4142.12,4142.12,4141.37,4141.62
1683893160000,4141.37,4142.37,4141.37,4142.37
1683893220000,4142.12,4142.87,4142.12,4142.87
1683893280000,4142.62,4143.37,4142.62,4142.62
1683893340000,4142.87,4142.87,4142.37,4142.62
1683893400000,4142.37,4142.87,4142.37,4142.37
1683893460000,4142.12,4142.37,4141.62,4141.62
1683893520000,4141.87,4142.12,4141.62,4141.62
1683893580000,4141.37,4142.12,4141.12,4142.12
1683893640000,4142.37,4142.37,4141.87,4142.12
1683893700000,4142.37,4142.62,4142.12,4142.12
1683893760000,4142.37,4142.37,4141.62,4142.12
1683893820000,4141.87,4142,4141.37,4141.87
1683893880000,4142.12,4142.12,4141.37,4141.37
1683893940000,4141.25,4141.62,4140.62,4140.62
1683894000000,4140.87,4140.87,4139.87,4140.25
1683894060000,4140.12,4140.37,4139.87,4139.87
1683894120000,4139.62,4139.87,4139.37,4139.87
1683894180000,4139.75,4139.87,4139.62,4139.87
1683894240000,4140.12,4140.62,4140.12,4140.62
1683894300000,4140.37,4140.87,4140.37,4140.87
1683894360000,4141.12,4142.12,4140.87,4141.87
1683894420000,4141.62,4141.62,4140.37,4140.62
1683894480000,4140.87,4141,4139.87,4139.87
1683894540000,4139.37,4140.37,4139.37,4139.62
1683894600000,4139.87,4140.37,4139.62,4140.12
1683894660000,4140.37,4140.87,4140.12,4140.87
1683894720000,4140.75,4142.12,4140.62,4141.87
1683894780000,4141.62,4141.62,4140.87,4140.87
1683894840000,4141.37,4142.62,4141.37,4142.62
1683894900000,4142.5,4142.62,4142.37,4142.37
1683894960000,4142.62,4142.62,4142.12,4142.62
1683895020000,4142.25,4142.87,4142.25,4142.87
1683895080000,4143,4143.37,4142.87,4143.12
1683895140000,4142.75,4142.75,4142.37,4142.37
1683895200000,4142.12,4142.87,4142.12,4142.62
1683895260000,4142.87,4143.12,4142.87,4142.87
1683895320000,4143.12,4143.37,4142.87,4143.37
1683895380000,4143.87,4143.87,4143.62,4143.62
1683895440000,4143.87,4143.87,4143.12,4143.25
1683895500000,4143.12,4143.62,4142.12,4142.37
1683895560000,4142.25,4142.37,4141.87,4142.25
1683895620000,4142.12,4142.62,4141.87,4142.37
1683895680000,4142.12,4142.62,4142.12,4142.37
1683895740000,4142.12,4143.12,4142.12,4143.12
1683895800000,4142.87,4143.12,4142.87,4143.12
1683895860000,4143.25,4143.37,4142.62,4142.62
1683895920000,4142.75,4142.87,4142.62,4142.87
1683895980000,4143.12,4143.12,4142.5,4142.87
1683896040000,4143,4143,4142.12,4142.37
1683896100000,4142.62,4142.87,4142.37,4142.37
1683896160000,4142.12,4142.12,4141.62,4141.62
1683896220000,4141.75,4141.87,4140.87,4141.37
1683896280000,4141.5,4142.37,4141.5,4142.12
1683896340000,4142.37,4142.62,4141.37,4141.62
1683896400000,4141.5,4141.75,4140.87,4140.87
1683896460000,4141.12,4141.87,4141.12,4141.62
1683896520000,4141.75,4142.62,4141.75,4142.37
1683896580000,4142.12,4142.37,4140.87,4141.12
1683896640000,4141,4141.62,4140.87,4141.62
1683896700000,4141.37,4141.87,4141.37,4141.62
1683896760000,4141.87,4141.87,4140.87,4140.87
1683896820000,4140.62,4141.12,4140.12,4140.62
1683896880000,4140.87,4141.12,4140.12,4140.12
1683896940000,4140.37,4140.87,4140.12,4140.12
1683897000000,4140.37,4141.12,4140.37,4140.87
1683897060000,4141.12,4141.12,4140.37,4140.62
1683897120000,4140.87,4141.12,4140.62,4140.87
1683897180000,4141.12,4142.12,4141.12,4142.12
1683897240000,4142.37,4142.62,4142.37,4142.62
1683897300000,4142.87,4143.12,4142.37,4142.62
1683897360000,4142.87,4143.12,4142.87,4143.12
1683897420000,4143.37,4143.62,4142.12,4142.12
1683897480000,4142.37,4142.62,4141.87,4142.25
1683897540000,4142.12,4142.37,4141.62,4141.62
1683897600000,4141.37,4141.87,4141.12,4141.62
1683897660000,4141.87,4142.62,4141.87,4142.12
1683897720000,4141.87,4142.12,4141.87,4142.12
1683897780000,4141.87,4142.37,4141.87,4142.37
1683897840000,4142.12,4142.37,4142.12,4142.12
1683897900000,4141.62,4142.12,4141.12,4142.12
1683897960000,4141.87,4141.87,4141.12,4141.87
1683898020000,4142.12,4142.87,4141.87,4142.87
1683898080000,4142.62,4142.62,4141.87,4142.25
1683898140000,4142.12,4142.12,4140.87,4141.5
1683898200000,4141.37,4142.37,4140.62,4140.87
1683898260000,4140.62,4142.12,4140.12,4140.37
1683898320000,4140.62,4143.12,4140.12,4142.87
1683898380000,4142.62,4142.87,4141.12,4141.37
1683898440000,4141.12,4142.12,4140.12,4141.12
1683898500000,4141.37,4142.12,4140.37,4141.12
1683898560000,4140.87,4141.62,4139.87,4140.5
1683898620000,4140.62,4142.12,4140.62,4140.87
1683898680000,4140.62,4141.62,4139.12,4139.62
1683898740000,4139.5,4141.12,4139.37,4140
1683898800000,4139.87,4140.87,4139.62,4140.37
1683898860000,4140.12,4142.62,4140.12,4142.62
