time,open,high,low,close
1726242480000,19512.74,19518.86,19511.61,19512.99
1726242540000,19513.61,19513.74,19507.86,19511.24
1726242600000,19510.99,19512.74,19502.36,19509.24
1726242660000,19509.49,19511.74,19506.99,19508.99
1726242720000,19508.74,19513.74,19505.74,19513.49
1726242780000,19513.11,19517.86,19510.24,19514.74
1726242840000,19514.61,19518.24,19511.74,19518.24
1726242900000,19518.49,19519.49,19513.24,19515.24
1726242960000,19515.49,19516.99,19512.49,19515.99
1726243020000,19515.61,19523.24,19514.24,19518.24
1726243080000,19517.99,19519.99,19511.99,19518.99
1726243140000,19517.99,19520.11,19511.24,19515.24
1726243200000,19513.74,19529.74,19511.99,19529.74
1726243260000,19529.49,19537.99,19524.74,19537.99
1726243320000,19537.74,19539.99,19526.49,19528.74
1726243380000,19529.24,19529.86,19517.99,19525.99
1726243440000,19526.74,19530.49,19524.99,19527.36
1726243500000,19526.99,19528.99,19515.61,19515.74
1726243560000,19516.49,19517.99,19496.36,19501.99
1726243620000,19502.24,19509.36,19498.24,19507.99
1726243680000,19507.74,19508.74,19500.49,19505.99
1726243740000,19505.74,19506.49,19494.49,19499.49
1726243800000,19499.24,19502.86,19493.61,19501.11
1726243860000,19501.36,19507.24,19496.61,19500.99
1726243920000,19501.24,19507.86,19500.24,19506.61
1726243980000,19506.36,19508.61,19481.24,19486.61
1726244040000,19487.11,19490.61,19473.61,19485.36
1726244100000,19485.11,19485.11,19470.99,19473.24
1726244160000,19474.61,19477.99,19466.99,19466.99
1726244220000,19465.74,19478.24,19465.74,19472.74
1726244280000,19472.86,19480.86,19469.99,19477.74
1726244340000,19477.49,19482.11,19476.49,19478.99
1726244400000,19478.74,19490.24,19475.99,19488.61
1726244460000,19488.36,19490.49,19474.49,19477.24
1726244520000,19477.49,19481.74,19466.86,19469.24
1726244580000,19468.99,19477.74,19466.74,19476.49
1726244640000,19476.36,19482.74,19475.36,19478.74
1726244700000,19478.49,19482.24,19477.74,19480.49
1726244760000,19480.74,19486.24,19474.99,19481.49
1726244820000,19481.24,19482.61,19473.11,19474.36
1726244880000,19474.49,19476.99,19471.74,19476.99
1726244940000,19477.24,19481.24,19474.49,19478.86
1726245000000,19478.24,19486.74,19476.24,19484.86
1726245060000,19484.99,19487.74,19481.99,19482.24
1726245120000,19482.49,19486.99,19480.49,19482.99
1726245180000,19483.24,19485.49,19476.49,19480.99
1726245240000,19481.24,19485.24,19478.74,19481.24
1726245300000,19480.99,19480.99,19471.99,19472.74
1726245360000,19472.24,19475.74,19470.49,19471.99
1726245420000,19470.99,19483.49,19468.74,19479.24
1726245480000,19479.49,19481.49,19473.61,19475.11
1726245540000,19475.24,19479.49,19471.36,19477.24
1726245600000,19477.36,19482.49,19474.36,19479.36
1726245660000,19478.99,19482.49,19473.99,19473.99
1726245720000,19474.36,19475.99,19470.24,19472.99
1726245780000,19473.24,19475.24,19467.99,19469.99
1726245840000,19469.49,19473.24,19468.49,19472.24
1726245900000,19472.99,19474.24,19467.49,19469.99
1726245960000,19469.74,19473.24,19457.99,19462.99
1726246020000,19462.49,19463.49,19458.74,19462.49
1726246080000,19461.99,19475.24,19461.49,19473.61
1726246140000,19473.74,19477.99,19469.24,19469.99
1726246200000,19470.86,19482.24,19469.49,19480.24
1726246260000,19480.74,19498.86,19479.99,19498.24
1726246320000,19497.74,19502.99,19493.99,19502.11
1726246380000,19501.99,19504.99,19495.99,19498.49
1726246440000,19498.99,19508.24,19496.24,19507.49
1726246500000,19507.74,19510.61,19503.74,19509.49
1726246560000,19509.74,19509.99,19505.99,19507.99
1726246620000,19508.24,19513.74,19508.24,19512.99
1726246680000,19513.11,19521.24,19511.99,19520.86
1726246740000,19520.74,19523.24,19518.74,19522.24
1726246800000,19523.24,19525.61,19519.49,19522.99
1726246860000,19522.74,19525.99,19521.49,19524.24
1726246920000,19523.49,19524.49,19518.49,19522.24
1726246980000,19522.74,19524.74,19516.74,19521.74
1726247040000,19520.99,19523.24,19517.49,19523.24
1726247100000,19523.99,19532.49,19521.24,19531.49
1726247160000,19531.61,19536.24,19530.99,19532.49
1726247220000,19532.24,19533.49,19525.49,19530.11
1726247280000,19530.24,19532.11,19525.74,19530.24
1726247340000,19530.36,19531.99,19525.36,19527.49
1726247400000,19528.24,19531.49,19526.74,19531.49
1726247460000,19531.61,19532.49,19525.74,19528.74
1726247520000,19529.11,19530.24,19526.74,19528.61
1726247580000,19528.49,19528.74,19522.24,19522.24
1726247640000,19522.99,19529.99,19522.74,19528.74
1726247700000,19528.49,19537.49,19528.24,19536.74
1726247760000,19535.99,19538.99,19534.74,19536.49
1726247820000,19535.99,19542.99,19535.99,19539.74
1726247880000,19539.49,19543.99,19538.99,19542.74
