time,open,high,low,close
1705061760000,16639.6,16640.6,16638.6,16640.6
1705061820000,16639.6,16640.6,16637.6,16638.6
1705061880000,16639.6,16641.6,16635.6,16636.6
1705061940000,16635.6,16636.6,16633.6,16634.6
1705062000000,16632.6,16632.6,16629.6,16632.6
1705062060000,16631.6,16636.6,16631.6,16634.6
1705062120000,16635.6,16645.6,16635.6,16645.6
1705062180000,16646.6,16650.6,16645.6,16648.6
1705062240000,16649.6,16652.6,16648.6,16648.6
1705062300000,16647.6,16655.6,16647.6,16652.6
1705062360000,16651.6,16653.6,16648.6,16652.6
1705062420000,16653.6,16656.6,16651.6,16656.6
1705062480000,16657.6,16657.6,16655.6,16657.6
1705062540000,16656.6,16657.6,16653.6,16653.6
1705062600000,16654.6,16660.6,16654.6,16658.6
1705062660000,16657.6,16657.6,16653.6,16655.6
1705062720000,16656.6,16656.6,16653.6,16655.6
1705062780000,16656.6,16657.6,16654.6,16656.6
1705062840000,16655.6,16657.6,16651.6,16651.6
1705062900000,16653.6,16654.6,16650.6,16653.6
1705062960000,16652.6,16654.6,16649.6,16649.6
1705063020000,16650.6,16650.6,16645.6,16646.6
1705063080000,16645.6,16647.6,16644.6,16645.6
1705063140000,16644.6,16645.6,16642.6,16644.6
1705063200000,16643.6,16648.6,16643.6,16648.6
1705063260000,16649.6,16651.6,16646.6,16650.6
1705063320000,16649.6,16649.6,16643.6,16647.6
1705063380000,16649.6,16659.6,16649.6,16657.6
1705063440000,16656.6,16659.6,16650.6,16651.6
1705063500000,16650.6,16652.6,16646.6,16648.6
1705063560000,16647.6,16648.6,16641.6,16641.6
1705063620000,16640.6,16640.6,16634.6,16634.6
1705063680000,16633.6,16634.6,16630.6,16631.6
1705063740000,16632.6,16636.6,16630.6,16635.6
1705063800000,16637.6,16637.6,16633.6,16637.6
1705063860000,16635.6,16638.6,16633.6,16634.6
1705063920000,16633.6,16633.6,16627.6,16628.6
1705063980000,16629.6,16634.6,16627.6,16634.6
1705064040000,16635.6,16639.6,16634.6,16635.6
1705064100000,16636.6,16638.6,16635.6,16637.6
1705064160000,16638.6,16642.6,16635.6,16635.6
1705064220000,16636.6,16636.6,16629.6,16630.6
1705064280000,16629.6,16634.6,16629.6,16633.6
1705064340000,16632.6,16633.6,16629.6,16630.6
1705064400000,16629.6,16633.6,16627.6,16631.6
1705064460000,16632.6,16638.6,16631.6,16636.6
1705064520000,16635.6,16646.6,16633.6,16646.6
1705064580000,16647.6,16652.6,16645.6,16650.6
1705064640000,16649.6,16654.6,16645.6,16647.6
1705064700000,16646.6,16648.6,16636.6,16637.6
1705064760000,16638.6,16642.6,16637.6,16640.6
1705064820000,16641.6,16644.6,16637.6,16638.6
1705064880000,16639.6,16645.6,16638.6,16644.6
1705064940000,16645.6,16646.6,16640.6,16641.6
1705065000000,16642.6,16644.6,16640.6,16642.6
1705065060000,16643.6,16646.6,16642.6,16645.6
1705065120000,16644.6,16646.6,16633.6,16635.6
1705065180000,16634.6,16638.6,16634.6,16638.6
1705065240000,16639.6,16644.6,16639.6,16643.6
1705065300000,16644.6,16651.6,16641.6,16651.6
1705065360000,16650.6,16655.6,16650.6,16653.6
1705065420000,16654.6,16656.6,16648.6,16648.6
1705065480000,16649.6,16650.6,16642.6,16643.6
1705065540000,16642.6,16651.6,16642.6,16650.6
1705065600000,16649.6,16649.6,16643.6,16644.6
1705065660000,16645.6,16650.6,16645.6,16647.6
1705065720000,16648.6,16650.6,16646.6,16646.6
1705065780000,16647.6,16653.6,16646.6,16650.6
1705065840000,16652.6,16653.6,16649.6,16650.6
1705065900000,16649.6,16657.6,16648.6,16657.6
1705065960000,16659.6,16662.6,16658.6,16661.6
1705066020000,16660.6,16661.6,16658.6,16661.6
1705066080000,16662.6,16665.6,16659.6,16665.6
1705066140000,16666.6,16667.6,16663.6,16665.6
1705066200000,16666.6,16682.6,16666.6,16678.6
1705066260000,16679.6,16688.6,16678.6,16678.6
1705066320000,16677.6,16685.6,16675.6,16681.6
1705066380000,16682.6,16686.6,16677.6,16681.6
1705066440000,16680.6,16682.6,16673.6,16675.6
1705066500000,16676.6,16686.6,16676.6,16684.6
1705066560000,16683.6,16687.6,16676.6,16677.6
1705066620000,16678.6,16680.6,16674.6,16680.6
1705066680000,16682.6,16684.6,16677.6,16680.6
1705066740000,16681.6,16685.6,16680.6,16682.6
1705066800000,16680.6,16685.6,16675.6,16677.6
1705066860000,16678.6,16684.6,16676.6,16680.6
1705066920000,16681.6,16683.6,16675.6,16675.6
1705066980000,16676.6,16680.6,16673.6,16679.6
1705067040000,16680.6,16680.6,16670.6,16675.6
1705067100000,16674.6,16679.6,16672.6,16674.6
1705067160000,16673.6,16680.6,16672.6,16678.6
1705067220000,16677.6,16683.6,16677.6,16681.6
1705067280000,16682.6,16683.6,16675.6,16677.6
1705067340000,16678.6,16684.6,16677.6,16684.6
1705067400000,16685.6,16687.6,16679.6,16681.6
1705067460000,16683.6,16689.6,16683.6,16689.6
1705067520000,16690.6,16697.6,16690.6,16691.6
1705067580000,16690.6,16692.6,16688.6,16689.6
1705067640000,16690.6,16699.6,16690.6,16699.6
1705067700000,16700.6,16700.6,16691.6,16692.6
1705067760000,16691.6,16696.6,16690.6,16695.6
1705067820000,16696.6,16703.6,16695.6,16699.6
1705067880000,16701.6,16704.6,16699.6,16700.6
1705067940000,16699.6,16704.6,16699.6,16702.6
1705068000000,16703.6,16705.6,16699.6,16701.6
1705068060000,16702.6,16703.6,16696.6,16702.6
1705068120000,16701.6,16704.6,16699.6,16704.6
1705068180000,16705.6,16706.6,16701.6,16704.6
1705068240000,16705.6,16708.6,16702.6,16707.6
1705068300000,16706.6,16710.6,16704.6,16706.6
1705068360000,16705.6,16710.6,16705.6,16709.6
1705068420000,16708.6,16712.6,16703.6,16711.6
1705068480000,16710.6,16711.6,16700.6,16700.6
1705068540000,16701.6,16703.6,16701.6,16703.6
1705068600000,16702.6,16710.6,16702.6,16709.6
1705068660000,16710.6,16712.6,16708.6,16711.6
1705068720000,16710.6,16712.6,16707.6,16712.6
1705068780000,16711.6,16713.6,16709.6,16712.6
1705068840000,16713.6,16717.6,16713.6,16717.6
1705068900000,16718.6,16722.6,16717.6,16720.6
1705068960000,16721.6,16722.6,16719.6,16720.6
1705069020000,16721.6,16721.6,16715.6,16718.6
1705069080000,16719.6,16720.6,16715.6,16716.6
1705069140000,16715.6,16717.6,16713.6,16714.6
1705069200000,16715.6,16720.6,16713.6,16718.6
1705069260000,16717.6,16719.6,16714.6,16717.6
1705069320000,16716.6,16721.6,16715.6,16721.6
1705069380000,16720.6,16723.6,16718.6,16723.6
1705069440000,16722.6,16724.6,16721.6,16722.6
1705069500000,16723.6,16728.6,16721.6,16727.6
1705069560000,16728.6,16729.6,16723.6,16725.6
1705069620000,16726.6,16730.6,16725.6,16729.6
1705069680000,16728.6,16732.6,16728.6,16731.6
1705069740000,16730.6,16732.6,16728.6,16730.6
1705069800000,16729.6,16731.6,16727.6,16727.6
1705069860000,16728.6,16731.6,16725.6,16727.6
1705069920000,16726.6,16732.6,16726.6,16731.6
1705069980000,16732.6,16733.6,16723.6,16723.6
1705070040000,16722.6,16724.6,16721.6,16722.6
1705070100000,16723.6,16728.6,16721.6,16726.6
1705070160000,16725.6,16742.6,16725.6,16740.6
1705070220000,16741.6,16745.6,16738.6,16738.6
1705070280000,16739.6,16745.6,16738.6,16742.6
1705070340000,16743.6,16745.6,16741.6,16742.6
1705070400000,16743.6,16748.6,16740.6,16740.6
1705070460000,16741.6,16742.6,16738.6,16741.6
1705070520000,16740.6,16741.6,16736.6,16741.6
1705070580000,16740.6,16744.6,16739.6,16744.6
1705070640000,16745.6,16750.6,16743.6,16743.6
1705070700000,16745.6,16748.6,16745.6,16747.6
1705070760000,16748.6,16753.6,16748.6,16749.6
1705070820000,16750.6,16753.6,16747.6,16752.6
1705070880000,16751.6,16760.6,16751.6,16757.6
1705070940000,16756.6,16757.6,16744.6,16744.6
1705071000000,16745.6,16747.6,16739.6,16743.6
1705071060000,16744.6,16751.6,16743.6,16746.6
1705071120000,16747.6,16748.6,16744.6,16746.6
1705071180000,16745.6,16745.6,16736.6,16736.6
1705071240000,16735.6,16738.6,16733.6,16736.6
1705071300000,16737.6,16738.6,16728.6,16732.6
1705071360000,16731.6,16736.6,16730.6,16731.6
1705071420000,16732.6,16733.6,16726.6,16729.6
1705071480000,16730.6,16730.6,16724.6,16727.6
1705071540000,16726.6,16727.6,16716.6,16718.6
1705071600000,16719.6,16719.6,16703.6,16705.6
1705071660000,16706.6,16712.6,16705.6,16707.6
1705071720000,16706.6,16709.6,16702.6,16705.6
1705071780000,16706.6,16711.6,16704.6,16710.6
1705071840000,16709.6,16711.6,16704.6,16708.6
1705071900000,16709.6,16721.6,16708.6,16718.6
1705071960000,16717.6,16724.6,16716.6,16723.6
1705072020000,16722.6,16729.6,16720.6,16727.6
1705072080000,16726.6,16733.6,16725.6,16728.6
1705072140000,16729.6,16729.6,16722.6,16728.6
1705072200000,16729.6,16731.6,16726.6,16731.6
1705072260000,16730.6,16731.6,16718.6,16718.6
1705072320000,16717.6,16723.6,16717.6,16718.6
1705072380000,16719.6,16720.6,16711.6,16715.6
1705072440000,16714.6,16718.6,16710.6,16715.6
1705072500000,16716.6,16726.6,16713.6,16724.6
1705072560000,16725.6,16728.6,16721.6,16721.6
1705072620000,16722.6,16724.6,16710.6,16714.6
1705072680000,16715.6,16717.6,16705.6,16707.6
1705072740000,16708.6,16709.6,16701.6,16702.6
1705072800000,16701.6,16712.6,16701.6,16709.6
1705072860000,16710.6,16714.6,16705.6,16708.6
1705072920000,16709.6,16709.6,16706.6,16707.6
1705072980000,16706.6,16713.6,16702.6,16713.6
1705073040000,16712.6,16713.6,16709.6,16713.6
1705073100000,16712.6,16715.6,16709.6,16710.6
1705073160000,16709.6,16709.6,16703.6,16703.6
1705073220000,16704.6,16709.6,16702.6,16706.6
1705073280000,16705.6,16711.6,16701.6,16710.6
1705073340000,16711.6,16713.6,16707.6,16710.6
1705073400000,16711.6,16716.6,16708.6,16715.6
1705073460000,16716.6,16716.6,16710.6,16712.6
1705073520000,16711.6,16716.6,16711.6,16713.6
1705073580000,16712.6,16713.6,16705.6,16706.6
1705073640000,16707.6,16708.6,16700.6,16708.6
1705073700000,16709.6,16711.6,16706.6,16709.6
1705073760000,16710.6,16712.6,16708.6,16709.6
1705073820000,16710.6,16711.6,16705.6,16705.6
1705073880000,16704.6,16706.6,16700.6,16700.6
1705073940000,16699.6,16699.6,16690.6,16695.6
1705074000000,16696.6,16700.6,16693.6,16699.6
1705074060000,16700.6,16706.6,16699.6,16703.6
1705074120000,16704.6,16705.6,16695.6,16697.6
1705074180000,16698.6,16698.6,16687.6,16694.6
1705074240000,16695.6,16708.6,16694.6,16705.6
1705074300000,16704.6,16704.6,16699.6,16703.6
1705074360000,16704.6,16708.6,16703.6,16704.6
1705074420000,16705.6,16705.6,16694.6,16695.6
1705074480000,16696.6,16696.6,16689.6,16691.6
1705074540000,16692.6,16692.6,16685.6,16686.6
1705074600000,16687.6,16689.6,16683.6,16685.6
1705074660000,16684.6,16686.6,16681.6,16683.6
1705074720000,16682.6,16684.6,16673.6,16677.6
1705074780000,16676.6,16677.6,16672.6,16675.6
1705074840000,16674.6,16678.6,16673.6,16674.6
1705074900000,16673.6,16683.6,16672.6,16681.6
1705074960000,16680.6,16682.6,16678.6,16679.6
1705075020000,16678.6,16684.6,16677.6,16681.6
1705075080000,16682.6,16684.6,16678.6,16682.6
1705075140000,16683.6,16689.6,16682.6,16687.6
1705075200000,16686.6,16688.6,16682.6,16688.6
